score,scode,name
99,PFE,Pfizer Inc.
95,ABNB,Airbnb Inc
90,GOOG,Alphabet Inc Class C
90,MRNA,Moderna Inc
90,DIS,Walt Disney Co
89,NKE,Nike Inc
88,JNJ,Johnson & Johnson
87,MA,Mastercard Inc
80,V,Visa Inc
78,PG,Procter & Gamble Co
75,JPM,JPMorgan Chase & Co.
70,WMT,Walmart Inc
70,PYPL,Paypal Holdings Inc
70,UNH,UnitedHealth Group Inc
60,HD,Home Depot Inc
60,SBUX,Starbucks Corporation
60,BA,Boeing Co
55,RBLX,Roblox Corp
50,AAPL,Apple Inc
43,LCID,Lucid Group Inc
42,MU,"Micron Technology, Inc."
33,FB,Meta Platforms Inc
30,NFLX,Netflix Inc
30,IONQ,IONQ Inc
20,XOM,Exxon Mobil Corp
20,MSFT,Microsoft Corporation
20,BAC,Bank of America Corp
20,ASML,ASML Holding NV
13,AMD,"Advanced Micro Devices, Inc."
12,AMZN,"Amazon.com, Inc."
12,U,Unity Software Inc
11,BABA,Alibaba Group Holding Ltd - ADR
10,NVDA,NVIDIA Corporation
10,ADBE,Adobe Inc
10,RIVN,Rivian Automotive Inc
9,PLTR,Palantir Technologies Inc
8,CEI,Camber Energy Inc
8,NKLA,Nikola Corporation
7,TSM,Taiwan Semiconductor Mfg. Co. Ltd.
