score,scode,name
99,AMZN,"Amazon.com, Inc."
96,GOOG,Alphabet Inc Class C
95,MSFT,Microsoft Corporation
94,AAPL,Apple Inc
94,NVDA,NVIDIA Corporation
93,AMD,"Advanced Micro Devices, Inc."
90,ASML,ASML Holding NV
90,U,Unity Software Inc
90,FB,Meta Platforms Inc
90,DIS,Walt Disney Co
88,PYPL,Paypal Holdings Inc
88,TSM,Taiwan Semiconductor Mfg. Co. Ltd.
86,V,Visa Inc
85,ADBE,Adobe Inc
85,MA,Mastercard Inc
85,XOM,Exxon Mobil Corp
85,SBUX,Starbucks Corporation
81,ABNB,Airbnb Inc
75,BA,Boeing Co
70,BABA,Alibaba Group Holding Ltd - ADR
67,LCID,Lucid Group Inc
67,UNH,UnitedHealth Group Inc
66,NFLX,Netflix Inc
65,RIVN,Rivian Automotive Inc
60,BAC,Bank of America Corp
60,RBLX,Roblox Corp
56,JPM,JPMorgan Chase & Co.
55,PG,Procter & Gamble Co
54,NKE,Nike Inc
45,JNJ,Johnson & Johnson
34,HD,Home Depot Inc
34,MU,"Micron Technology, Inc."
30,PLTR,Palantir Technologies Inc
23,WMT,Walmart Inc
23,MRNA,Moderna Inc
23,NKLA,Nikola Corporation
12,CEI,Camber Energy Inc
10,PFE,Pfizer Inc.
2,IONQ,IONQ Inc
