score,scode,name
80,AAPL,Apple Inc
20,PYPL,Paypal Holdings Inc
20,MRNA,Moderna Inc
50,NFLX,Netflix Inc
40,SBUX,Starbucks Corporation
90,GOOG,Alphabet Inc Class C
10,JPM,JPMorgan Chase & Co.
90,AMZN,"Amazon.com, Inc."
90,NVDA,NVIDIA Corporation
10,NKE,Nike Inc
90,FB,Meta Platforms Inc
80,MSFT,Microsoft Corporation
10,WMT,Walmart Inc
30,V,Visa Inc
50,ADBE,Adobe Inc
50,U,Unity Software Inc
0,PFE,Pfizer Inc.
30,MA,Mastercard Inc
30,DIS,Walt Disney Co
10,LCID,Lucid Group Inc
0,HD,Home Depot Inc
30,TSM,Taiwan Semiconductor Mfg. Co. Ltd.
30,ABNB,Airbnb Inc
20,XOM,Exxon Mobil Corp
20,BABA,Alibaba Group Holding Ltd - ADR
0,PG,Procter & Gamble Co
0,JNJ,Johnson & Johnson
0,IONQ,IONQ Inc
0,BAC,Bank of America Corp
0,NKLA,Nikola Corporation
0,MU,"Micron Technology, Inc."
0,PLTR,Palantir Technologies Inc
0,BA,Boeing Co
0,CEI,Camber Energy Inc
0,RIVN,Rivian Automotive Inc
0,RBLX,Roblox Corp
0,ASML,ASML Holding NV
0,UNH,UnitedHealth Group Inc
0,AMD,"Advanced Micro Devices, Inc."
