score,scode,name
96,NVDA,NVIDIA Corporation
97,AAPL,Apple Inc
96,AMZN,"Amazon.com, Inc."
94,AMD,"Advanced Micro Devices, Inc."
93,U,Unity Software Inc
90,MU,"Micron Technology, Inc."
89,JNJ,Johnson & Johnson
88,IONQ,IONQ Inc
85,LCID,Lucid Group Inc
98,UNH,UnitedHealth Group Inc
100,RBLX,Roblox Corp
81,CEI,Camber Energy Inc
80,NKE,Nike Inc
78,XOM,Exxon Mobil Corp
77,SBUX,Starbucks Corporation
76,GOOG,Alphabet Inc Class C
72,V,Visa Inc
70,PG,Procter & Gamble Co
99,DIS,Walt Disney Co
66,MSFT,Microsoft Corporation
65,NFLX,Netflix Inc
64,FB,Meta Platforms Inc
62,BAC,Bank of America Corp
60,HD,Home Depot Inc
57,BA,Boeing Co
55,WMT,Walmart Inc
50,PFE,Pfizer Inc.
50,ADBE,Adobe Inc
48,TSM,Taiwan Semiconductor Mfg. Co. Ltd.
45,RIVN,Rivian Automotive Inc
45,MA,Mastercard Inc
44,ABNB,Airbnb Inc
40,PLTR,Palantir Technologies Inc
40,ASML,ASML Holding NV
39,MRNA,Moderna Inc
34,NKLA,Nikola Corporation
32,PYPL,Paypal Holdings Inc
29,BABA,Alibaba Group Holding Ltd - ADR
20,JPM,JPMorgan Chase & Co.
