score,scode,name
6,AMD,"Advanced Micro Devices, Inc."
100,AAPL,Apple Inc
22,BAC,Bank of America Corp
99,ABNB,Airbnb Inc
97,FB,Meta Platforms Inc
95,MSFT,Microsoft Corporation
77,NFLX,Netflix Inc
95,PFE,Pfizer Inc.
6,JNJ,Johnson & Johnson
92,AMZN,"Amazon.com, Inc."
72,MRNA,Moderna Inc
13,BABA,Alibaba Group Holding Ltd - ADR
10,XOM,Exxon Mobil Corp
91,TSM,Taiwan Semiconductor Mfg. Co. Ltd.
70,ADBE,Adobe Inc
82,RBLX,Roblox Corp
90,GOOG,Alphabet Inc Class C
89,DIS,Walt Disney Co
80,NVDA,NVIDIA Corporation
86,U,Unity Software Inc
2,JPM,JPMorgan Chase & Co.
64,SBUX,Starbucks Corporation
45,NKE,Nike Inc
12,WMT,Walmart Inc
7,PG,Procter & Gamble Co
5,HD,Home Depot Inc
5,MA,Mastercard Inc
5,PLTR,Palantir Technologies Inc
4,NKLA,Nikola Corporation
3,V,Visa Inc
3,RIVN,Rivian Automotive Inc
2,BA,Boeing Co
2,ASML,ASML Holding NV
2,MU,"Micron Technology, Inc."
1,PYPL,Paypal Holdings Inc
1,CEI,Camber Energy Inc
0,LCID,Lucid Group Inc
0,IONQ,IONQ Inc
0,UNH,UnitedHealth Group Inc
