,sid,scode,click,unclick,buy,sell,first_exposed_time,last_interaction_time,p_berr,price,change,changepct,volume,color,name,exp_type,user_id,exp_seq
13,13,BAC,0,0,0,0,0,-1,0.13479421327802704,44.52,0.03,0.07,37700187,#E24A4A,Bank of America Corp,Base,1,1
14,14,PG,0,0,0,0,0,-1,0.10689053366544636,155.46,2.14,1.4,7172321,#E24A4A,Procter & Gamble Co,Base,1,1
15,15,MA,0,0,0,0,0,-1,0.09888056134467044,349.92,5.4,1.57,3405910,#E24A4A,Mastercard Inc,Base,1,1
16,16,ADBE,0,0,0,0,0,-1,0.08491814285714222,654.45,21.88,3.46,2872975,#E24A4A,Adobe Inc,Base,1,1
17,17,NFLX,0,0,0,0,0,-1,0.05412288444465276,611.66,0.66,0.11,2748774,#E24A4A,Netflix Inc,Base,1,1
18,18,PFE,0,0,0,0,0,-1,0.042762755386618514,52.78,0.7,1.34,26079361,#E24A4A,Pfizer Inc.,Base,1,1
19,19,NKE,0,0,0,0,0,-1,0.03111857608802552,169.06,0.96,0.57,4791125,#E24A4A,Nike Inc,Base,1,1
20,0,AAPL,0,0,0,0,0,-1,0.746413310985706,179.45,4.89,2.8,115402731,#E24A4A,Apple Inc,Base,1,2
21,1,MSFT,0,0,0,0,0,-1,0.6775449432301162,342.54,9.44,2.83,38095694,#E24A4A,Microsoft Corporation,Base,1,2
22,2,GOOG,0,0,0,0,0,-1,0.4325275847125913,2973.5,11.38,0.38,1081923,#E24A4A,Alphabet Inc Class C,Base,1,2
23,3,AMZN,0,0,0,0,0,-1,0.4002531347444266,3444.24,-39.18,-1.12,3034488,#3485FF,"Amazon.com, Inc.",Base,1,2
24,4,LCID,0,0,0,0,0,-1,0.3655582900076517,37.66,1.14,3.12,91795824,#E24A4A,Lucid Group Inc,Base,1,2
25,5,NVDA,0,0,0,0,0,-1,0.3344809396508424,301.98,-2.92,-0.96,48882509,#3485FF,NVIDIA Corporation,Base,1,2
26,6,XOM,0,0,0,0,0,-1,0.3267718997874653,63.01,0.4,0.64,17942383,#E24A4A,Exxon Mobil Corp,Base,1,2
27,7,JPM,0,0,0,0,0,-1,0.3189793921822593,159.82,-0.64,-0.4,10405374,#3485FF,JPMorgan Chase & Co.,Base,1,2
28,8,V,0,0,0,0,0,-1,0.2888134541502629,213.4,2.01,0.95,8882718,#E24A4A,Visa Inc,Base,1,2
29,9,HD,0,0,0,0,0,-1,0.2639472764545959,415.4,4.06,0.99,2625183,#E24A4A,Home Depot Inc,Base,1,2
30,10,JNJ,0,0,0,0,0,-1,0.24524800369139346,165.49,-0.41,-0.25,6572247,#3485FF,Johnson & Johnson,Base,1,2
31,11,IONQ,0,0,0,0,0,-1,0.1996149368261977,18.57,-0.04,-0.21,3626935,#3485FF,IONQ Inc,Base,1,2
32,12,WMT,0,0,0,0,0,-1,0.14019336874780958,141.03,2.53,1.83,12858541,#E24A4A,Walmart Inc,Base,1,2
33,13,BAC,0,0,0,0,0,-1,0.13479421327802704,44.52,0.03,0.07,37700187,#E24A4A,Bank of America Corp,Base,1,2
34,14,PG,0,0,0,0,0,-1,0.10689053366544636,155.46,2.14,1.4,7172321,#E24A4A,Procter & Gamble Co,Base,1,2
35,15,MA,0,0,0,0,0,-1,0.09888056134467044,349.92,5.4,1.57,3405910,#E24A4A,Mastercard Inc,Base,1,2
36,16,ADBE,0,0,0,0,0,-1,0.08491814285714222,654.45,21.88,3.46,2872975,#E24A4A,Adobe Inc,Base,1,2
37,17,NFLX,0,0,0,0,0,-1,0.05412288444465276,611.66,0.66,0.11,2748774,#E24A4A,Netflix Inc,Base,1,2
38,18,PFE,0,0,0,0,0,-1,0.042762755386618514,52.78,0.7,1.34,26079361,#E24A4A,Pfizer Inc.,Base,1,2
39,19,NKE,0,0,0,0,0,-1,0.03111857608802552,169.06,0.96,0.57,4791125,#E24A4A,Nike Inc,Base,1,2
40,116,TSM,0,0,0,0,-1,-1,-1.0,119.13,-0.37,-0.31,5973913,#3485FF,Taiwan Semiconductor Mfg. Co. Ltd.,Base,1,2
41,104,DIS,0,0,0,0,-1,-1,-1.0,152.71,-0.23,-0.15,10247891,#3485FF,Walt Disney Co,Base,1,2
42,0,AAPL,0,0,0,0,0,-1,0.746413310985706,179.45,4.89,2.8,115402731,#E24A4A,Apple Inc,Base,1,3
43,1,MSFT,0,0,0,0,0,-1,0.6775449432301162,342.54,9.44,2.83,38095694,#E24A4A,Microsoft Corporation,Base,1,3
44,2,GOOG,0,0,0,0,0,-1,0.4325275847125913,2973.5,11.38,0.38,1081923,#E24A4A,Alphabet Inc Class C,Base,1,3
45,3,AMZN,0,0,0,0,0,-1,0.4002531347444266,3444.24,-39.18,-1.12,3034488,#3485FF,"Amazon.com, Inc.",Base,1,3
46,4,LCID,0,0,0,0,0,-1,0.3655582900076517,37.66,1.14,3.12,91795824,#E24A4A,Lucid Group Inc,Base,1,3
47,5,NVDA,0,0,0,0,0,-1,0.3344809396508424,301.98,-2.92,-0.96,48882509,#3485FF,NVIDIA Corporation,Base,1,3
48,6,XOM,0,0,0,0,0,-1,0.3267718997874653,63.01,0.4,0.64,17942383,#E24A4A,Exxon Mobil Corp,Base,1,3
49,7,JPM,0,0,0,0,0,-1,0.3189793921822593,159.82,-0.64,-0.4,10405374,#3485FF,JPMorgan Chase & Co.,Base,1,3
50,8,V,0,0,0,0,0,-1,0.2888134541502629,213.4,2.01,0.95,8882718,#E24A4A,Visa Inc,Base,1,3
51,9,HD,0,0,0,0,0,-1,0.2639472764545959,415.4,4.06,0.99,2625183,#E24A4A,Home Depot Inc,Base,1,3
52,10,JNJ,0,0,0,0,0,-1,0.24524800369139346,165.49,-0.41,-0.25,6572247,#3485FF,Johnson & Johnson,Base,1,3
53,11,IONQ,0,0,0,0,0,-1,0.1996149368261977,18.57,-0.04,-0.21,3626935,#3485FF,IONQ Inc,Base,1,3
54,12,WMT,0,0,0,0,0,-1,0.14019336874780958,141.03,2.53,1.83,12858541,#E24A4A,Walmart Inc,Base,1,3
55,13,BAC,0,0,0,0,0,-1,0.13479421327802704,44.52,0.03,0.07,37700187,#E24A4A,Bank of America Corp,Base,1,3
56,14,PG,0,0,0,0,0,-1,0.10689053366544636,155.46,2.14,1.4,7172321,#E24A4A,Procter & Gamble Co,Base,1,3
57,15,MA,0,0,0,0,0,-1,0.09888056134467044,349.92,5.4,1.57,3405910,#E24A4A,Mastercard Inc,Base,1,3
58,16,ADBE,0,0,0,0,0,-1,0.08491814285714222,654.45,21.88,3.46,2872975,#E24A4A,Adobe Inc,Base,1,3
59,17,NFLX,0,0,0,0,0,-1,0.05412288444465276,611.66,0.66,0.11,2748774,#E24A4A,Netflix Inc,Base,1,3
60,18,PFE,0,0,0,0,0,-1,0.042762755386618514,52.78,0.7,1.34,26079361,#E24A4A,Pfizer Inc.,Base,1,3
61,19,NKE,0,0,0,0,0,-1,0.03111857608802552,169.06,0.96,0.57,4791125,#E24A4A,Nike Inc,Base,1,3
62,116,TSM,0,0,0,0,-1,-1,-1.0,119.13,-0.37,-0.31,5973913,#3485FF,Taiwan Semiconductor Mfg. Co. Ltd.,Base,1,3
63,104,DIS,0,0,0,0,-1,-1,-1.0,152.71,-0.23,-0.15,10247891,#3485FF,Walt Disney Co,Base,1,3
64,106,U,0,0,0,0,-1,-1,-1.0,139.47,-0.53,-0.38,3691212,#3485FF,Unity Software Inc,Base,1,3
65,103,RBLX,0,0,0,0,-1,-1,-1.0,115.89,-0.41,-0.35,11778202,#3485FF,Roblox Corp,Base,1,3
66,0,AAPL,0,0,0,0,0,-1,0.746413310985706,179.45,4.89,2.8,115402731,#E24A4A,Apple Inc,Base,1,4
67,1,MSFT,0,0,0,0,0,-1,0.6775449432301162,342.54,9.44,2.83,38095694,#E24A4A,Microsoft Corporation,Base,1,4
68,2,GOOG,0,0,0,0,0,-1,0.4325275847125913,2973.5,11.38,0.38,1081923,#E24A4A,Alphabet Inc Class C,Base,1,4
69,3,AMZN,0,0,0,0,0,-1,0.4002531347444266,3444.24,-39.18,-1.12,3034488,#3485FF,"Amazon.com, Inc.",Base,1,4
70,4,LCID,0,0,0,0,0,-1,0.3655582900076517,37.66,1.14,3.12,91795824,#E24A4A,Lucid Group Inc,Base,1,4
71,5,NVDA,0,0,0,0,0,-1,0.3344809396508424,301.98,-2.92,-0.96,48882509,#3485FF,NVIDIA Corporation,Base,1,4
72,6,XOM,0,0,0,0,0,-1,0.3267718997874653,63.01,0.4,0.64,17942383,#E24A4A,Exxon Mobil Corp,Base,1,4
73,7,JPM,0,0,0,0,0,-1,0.3189793921822593,159.82,-0.64,-0.4,10405374,#3485FF,JPMorgan Chase & Co.,Base,1,4
74,8,V,0,0,0,0,0,-1,0.2888134541502629,213.4,2.01,0.95,8882718,#E24A4A,Visa Inc,Base,1,4
75,9,HD,0,0,0,0,0,-1,0.2639472764545959,415.4,4.06,0.99,2625183,#E24A4A,Home Depot Inc,Base,1,4
76,10,JNJ,0,0,0,0,0,-1,0.24524800369139346,165.49,-0.41,-0.25,6572247,#3485FF,Johnson & Johnson,Base,1,4
77,11,IONQ,0,0,0,0,0,-1,0.1996149368261977,18.57,-0.04,-0.21,3626935,#3485FF,IONQ Inc,Base,1,4
78,12,WMT,0,0,0,0,0,-1,0.14019336874780958,141.03,2.53,1.83,12858541,#E24A4A,Walmart Inc,Base,1,4
79,13,BAC,0,0,0,0,0,-1,0.13479421327802704,44.52,0.03,0.07,37700187,#E24A4A,Bank of America Corp,Base,1,4
80,14,PG,0,0,0,0,0,-1,0.10689053366544636,155.46,2.14,1.4,7172321,#E24A4A,Procter & Gamble Co,Base,1,4
81,15,MA,0,0,0,0,0,-1,0.09888056134467044,349.92,5.4,1.57,3405910,#E24A4A,Mastercard Inc,Base,1,4
82,16,ADBE,0,0,0,0,0,-1,0.08491814285714222,654.45,21.88,3.46,2872975,#E24A4A,Adobe Inc,Base,1,4
83,17,NFLX,0,0,0,0,0,-1,0.05412288444465276,611.66,0.66,0.11,2748774,#E24A4A,Netflix Inc,Base,1,4
84,18,PFE,0,0,0,0,0,-1,0.042762755386618514,52.78,0.7,1.34,26079361,#E24A4A,Pfizer Inc.,Base,1,4
85,19,NKE,0,0,0,0,0,-1,0.03111857608802552,169.06,0.96,0.57,4791125,#E24A4A,Nike Inc,Base,1,4
86,116,TSM,0,0,0,0,-1,-1,-1.0,119.13,-0.37,-0.31,5973913,#3485FF,Taiwan Semiconductor Mfg. Co. Ltd.,Base,1,4
87,104,DIS,0,0,0,0,-1,-1,-1.0,152.71,-0.23,-0.15,10247891,#3485FF,Walt Disney Co,Base,1,4
88,106,U,0,0,0,0,-1,-1,-1.0,139.47,-0.53,-0.38,3691212,#3485FF,Unity Software Inc,Base,1,4
89,103,RBLX,0,0,0,0,-1,-1,-1.0,115.89,-0.41,-0.35,11778202,#3485FF,Roblox Corp,Base,1,4
90,117,MRNA,0,0,0,0,-1,-1,-1.0,257.06,-15.15,-5.57,17506624,#3485FF,Moderna Inc,Base,1,4
91,118,SBUX,0,0,0,0,-1,-1,-1.0,116.73,1.38,1.2,6110960,#E24A4A,Starbucks Corporation,Base,1,4
92,0,AAPL,0,0,0,0,0,-1,0.746413310985706,179.45,4.89,2.8,115402731,#E24A4A,Apple Inc,Base,1,5
93,1,MSFT,0,0,0,0,0,-1,0.6775449432301162,342.54,9.44,2.83,38095694,#E24A4A,Microsoft Corporation,Base,1,5
94,2,GOOG,0,0,0,0,0,-1,0.4325275847125913,2973.5,11.38,0.38,1081923,#E24A4A,Alphabet Inc Class C,Base,1,5
95,3,AMZN,0,0,0,0,0,-1,0.4002531347444266,3444.24,-39.18,-1.12,3034488,#3485FF,"Amazon.com, Inc.",Base,1,5
96,4,LCID,0,0,0,0,0,-1,0.3655582900076517,37.66,1.14,3.12,91795824,#E24A4A,Lucid Group Inc,Base,1,5
97,5,NVDA,0,0,0,0,0,-1,0.3344809396508424,301.98,-2.92,-0.96,48882509,#3485FF,NVIDIA Corporation,Base,1,5
98,6,XOM,0,0,0,0,0,-1,0.3267718997874653,63.01,0.4,0.64,17942383,#E24A4A,Exxon Mobil Corp,Base,1,5
99,7,JPM,0,0,0,0,0,-1,0.3189793921822593,159.82,-0.64,-0.4,10405374,#3485FF,JPMorgan Chase & Co.,Base,1,5
100,8,V,0,0,0,0,0,-1,0.2888134541502629,213.4,2.01,0.95,8882718,#E24A4A,Visa Inc,Base,1,5
101,9,HD,0,0,0,0,0,-1,0.2639472764545959,415.4,4.06,0.99,2625183,#E24A4A,Home Depot Inc,Base,1,5
102,10,JNJ,0,0,0,0,0,-1,0.24524800369139346,165.49,-0.41,-0.25,6572247,#3485FF,Johnson & Johnson,Base,1,5
103,11,IONQ,0,0,0,0,0,-1,0.1996149368261977,18.57,-0.04,-0.21,3626935,#3485FF,IONQ Inc,Base,1,5
104,12,WMT,0,0,0,0,0,-1,0.14019336874780958,141.03,2.53,1.83,12858541,#E24A4A,Walmart Inc,Base,1,5
105,13,BAC,0,0,0,0,0,-1,0.13479421327802704,44.52,0.03,0.07,37700187,#E24A4A,Bank of America Corp,Base,1,5
106,14,PG,0,0,0,0,0,-1,0.10689053366544636,155.46,2.14,1.4,7172321,#E24A4A,Procter & Gamble Co,Base,1,5
107,15,MA,0,0,0,0,0,-1,0.09888056134467044,349.92,5.4,1.57,3405910,#E24A4A,Mastercard Inc,Base,1,5
