score,scode,name
100,GOOG,Alphabet Inc Class C
100,U,Unity Software Inc
100,WMT,Walmart Inc
98,AMD,"Advanced Micro Devices, Inc."
97,V,Visa Inc
95,FB,Meta Platforms Inc
95,NVDA,NVIDIA Corporation
91,LCID,Lucid Group Inc
90,BAC,Bank of America Corp
90,RBLX,Roblox Corp
88,DIS,Walt Disney Co
85,MRNA,Moderna Inc
81,JNJ,Johnson & Johnson
80,AAPL,Apple Inc
80,PFE,Pfizer Inc.
77,IONQ,IONQ Inc
77,XOM,Exxon Mobil Corp
71,AMZN,"Amazon.com, Inc."
70,MA,Mastercard Inc
70,NKE,Nike Inc
66,SBUX,Starbucks Corporation
61,MSFT,Microsoft Corporation
60,HD,Home Depot Inc
58,JPM,JPMorgan Chase & Co.
55,PG,Procter & Gamble Co
51,TSM,Taiwan Semiconductor Mfg. Co. Ltd.
50,BA,Boeing Co
48,RIVN,Rivian Automotive Inc
48,NFLX,Netflix Inc
40,ADBE,Adobe Inc
0,ABNB,Airbnb Inc
0,ASML,ASML Holding NV
0,BABA,Alibaba Group Holding Ltd - ADR
0,CEI,Camber Energy Inc
0,MU,"Micron Technology, Inc."
0,NKLA,Nikola Corporation
0,PLTR,Palantir Technologies Inc
0,PYPL,Paypal Holdings Inc
0,UNH,UnitedHealth Group Inc
