score,scode,name
98,NVDA,NVIDIA Corporation
96,GOOG,Alphabet Inc Class C
95,AAPL,Apple Inc
93,AMD,"Advanced Micro Devices, Inc."
90,MSFT,Microsoft Corporation
86,AMZN,"Amazon.com, Inc."
76,RBLX,Roblox Corp
76,ASML,ASML Holding NV
75,NFLX,Netflix Inc
73,FB,Meta Platforms Inc
72,U,Unity Software Inc
70,JPM,JPMorgan Chase & Co.
62,BABA,Alibaba Group Holding Ltd - ADR
51,RIVN,Rivian Automotive Inc
50,LCID,Lucid Group Inc
49,ABNB,Airbnb Inc
47,SBUX,Starbucks Corporation
46,PFE,Pfizer Inc.
45,JNJ,Johnson & Johnson
45,WMT,Walmart Inc
43,UNH,UnitedHealth Group Inc
41,ADBE,Adobe Inc
40,V,Visa Inc
39,MA,Mastercard Inc
37,NKE,Nike Inc
35,BAC,Bank of America Corp
34,TSM,Taiwan Semiconductor Mfg. Co. Ltd.
34,MRNA,Moderna Inc
34,PLTR,Palantir Technologies Inc
32,DIS,Walt Disney Co
32,CEI,Camber Energy Inc
30,XOM,Exxon Mobil Corp
25,PYPL,Paypal Holdings Inc
23,NKLA,Nikola Corporation
22,BA,Boeing Co
22,MU,"Micron Technology, Inc."
20,HD,Home Depot Inc
19,IONQ,IONQ Inc
18,PG,Procter & Gamble Co
