,scode,name,user_id
189,BAC,Bank of America Corp,5
190,XOM,Exxon Mobil Corp,5
191,JPM,JPMorgan Chase & Co.,5
192,PG,Procter & Gamble Co,5
193,IONQ,IONQ Inc,5
194,HD,Home Depot Inc,5
195,AAPL,Apple Inc,6
196,NVDA,NVIDIA Corporation,6
197,FB,Meta Platforms Inc,6
198,MSFT,Microsoft Corporation,6
199,GOOG,Alphabet Inc Class C,6
200,NFLX,Netflix Inc,6
201,ABNB,Airbnb Inc,6
202,AMD,"Advanced Micro Devices, Inc.",6
203,AMZN,"Amazon.com, Inc.",6
204,ADBE,Adobe Inc,6
205,LCID,Lucid Group Inc,6
206,DIS,Walt Disney Co,6
207,U,Unity Software Inc,6
208,TSM,Taiwan Semiconductor Mfg. Co. Ltd.,6
209,RBLX,Roblox Corp,6
210,NKLA,Nikola Corporation,6
211,SBUX,Starbucks Corporation,6
212,NKE,Nike Inc,6
213,V,Visa Inc,6
214,MA,Mastercard Inc,6
215,JPM,JPMorgan Chase & Co.,6
216,BA,Boeing Co,6
217,RIVN,Rivian Automotive Inc,6
218,ASML,ASML Holding NV,6
219,XOM,Exxon Mobil Corp,6
220,BAC,Bank of America Corp,6
221,PFE,Pfizer Inc.,6
222,CEI,Camber Energy Inc,6
223,MRNA,Moderna Inc,6
224,PG,Procter & Gamble Co,6
225,JNJ,Johnson & Johnson,6
226,WMT,Walmart Inc,6
227,IONQ,IONQ Inc,6
228,HD,Home Depot Inc,6
229,UNH,UnitedHealth Group Inc,6
230,BABA,Alibaba Group Holding Ltd - ADR,6
231,MU,"Micron Technology, Inc.",6
232,PYPL,Paypal Holdings Inc,6
233,PLTR,Palantir Technologies Inc,6
