score,scode,name
100,AMD,"Advanced Micro Devices, Inc."
100,BABA,Alibaba Group Holding Ltd - ADR
95,MRNA,Moderna Inc
95,AAPL,Apple Inc
95,AMZN,"Amazon.com, Inc."
85,MA,Mastercard Inc
81,ADBE,Adobe Inc
80,MSFT,Microsoft Corporation
78,LCID,Lucid Group Inc
80,JPM,JPMorgan Chase & Co.
75,PFE,Pfizer Inc.
70,PG,Procter & Gamble Co
70,XOM,Exxon Mobil Corp
65,GOOG,Alphabet Inc Class C
65,SBUX,Starbucks Corporation
59,NVDA,NVIDIA Corporation
65,NKE,Nike Inc
47,JNJ,Johnson & Johnson
50,DIS,Walt Disney Co
50,FB,Meta Platforms Inc
50,BAC,Bank of America Corp
45,HD,Home Depot Inc
45,RBLX,Roblox Corp
30,IONQ,IONQ Inc
27,WMT,Walmart Inc
25,TSM,Taiwan Semiconductor Mfg. Co. Ltd.
21,NFLX,Netflix Inc
20,ABNB,Airbnb Inc
18,U,Unity Software Inc
12,V,Visa Inc
0,ASML,ASML Holding NV
0,BA,Boeing Co
0,CEI,Camber Energy Inc
0,MU,"Micron Technology, Inc."
0,NKLA,Nikola Corporation
0,PLTR,Palantir Technologies Inc
0,PYPL,Paypal Holdings Inc
0,RIVN,Rivian Automotive Inc
0,UNH,UnitedHealth Group Inc
