,sid,scode,click,unclick,buy,sell,first_exposed_time,last_interaction_time,p_berr,price,pricedollar,change,changepct,changepctparenthesis,volume,color,name
0,1,MSFT,3,0,500,0,0,2,0.9940594161582633,342.3400,$342.3400,2.8300,0.83%,(0.83%),111,/#E24A4A,Mastercard Inc
1,5,NVDA,1,2,200,0,0,2,0.9854562055713652,208.9900,$208.9900,1.6200,0.78%,(0.78%),742,/#E24A4A,Visa Inc
2,14,PG,2,1,100,0,0,2,0.9758873762092927,124.7800,$124.7800,8.7900,7.58%,(7.58%),"10,796",/#E24A4A,Roblox Corp
3,16,ADBE,1,2,200,0,0,0,0.9669311028009742,44.1600,$44.1600,-0.5500,-1.23%,(-1.23%),"6,446",/#3485FF,Bank of America Corp
4,116,TSM,0,0,0,0,3,-1,0.8933743738978143,121.8000,,-0.5200,-0.43%,(-0.43%),"1,313",,Taiwan Semiconductor Mfg. Co. Ltd.
5,106,U,0,0,0,0,3,-1,0.8356391191708648,153.9400,,0.4400,0.29%,(0.29%),"3,258",,Unity Software Inc
6,15,MA,1,2,0,0,0,2,0.43157020121985884,153.9400,$153.9400,0.4400,0.29%,(0.29%),"3,950",/#E24A4A,Unity Software Inc
7,2,GOOG,2,1,0,0,0,2,0.3877449063820765,152.4300,$152.4300,0.6800,0.45%,(0.45%),43,/#E24A4A,Procter & Gamble Co
8,7,JPM,0,3,0,0,0,-1,0.3441812859674194,160.7100,$160.7100,-1.8600,-1.14%,(-1.14%),"1,273",/#3485FF,JPMorgan Chase & Co.
9,17,NFLX,0,3,0,0,0,-1,0.310267242764479,186.4900,$186.4900,3.3500,1.83%,(1.83%),"1,930",/#E24A4A,Airbnb Inc
10,100,FB,0,2,0,0,1,-1,0.2715384845444358,330.5600,,7.7500,2.40%,(2.40%),"6,838",,Meta Platforms Inc
11,9,HD,0,3,0,0,0,-1,0.2587484538569951,175.0800,$175.0800,3.9000,2.28%,(2.28%),"120,934",/#E24A4A,Apple Inc
12,104,DIS,0,1,0,0,2,-1,0.2473028283976736,153.3400,,2.5800,1.71%,(1.71%),"3,549",,Walt Disney Co
13,18,PFE,0,3,0,0,0,-1,0.2242306353702523,653.1000,$653.1000,3.1400,0.48%,(0.48%),144,/#E24A4A,Adobe Inc
14,0,AAPL,1,2,0,0,0,2,0.17852767902879801,"2,974.4100","$2,974.4100",13.6800,0.46%,(0.46%),372,/#E24A4A,Alphabet Inc Class C
15,3,AMZN,1,2,0,0,0,0,0.15977868164287343,20.9700,$20.9700,-0.6000,-2.78%,(-2.78%),"52,811",/#3485FF,IONQ Inc
16,12,WMT,1,2,0,0,0,1,0.13140697089694348,334.9700,$334.9700,0.0500,0.01%,(0.01%),"10,254",/#E24A4A,Microsoft Corporation
17,19,NKE,0,3,0,0,0,-1,0.06546876496853597,145.2400,$145.2400,0.3900,0.27%,(0.27%),"11,934",/#E24A4A,"Advanced Micro Devices, Inc."
18,11,IONQ,0,3,0,0,0,-1,0.049522141496725555,121.8000,$121.8000,-0.5200,-0.43%,(-0.43%),"1,953",/#3485FF,Taiwan Semiconductor Mfg. Co. Ltd.
19,8,V,0,3,0,0,0,-1,0.03001337067247882,318.2600,$318.2600,-6.0100,-1.85%,(-1.85%),"26,788",/#3485FF,NVIDIA Corporation
20,112,ABNB,0,2,0,0,1,-1,0.029992770641993387,186.4900,,3.3500,1.83%,(1.83%),"1,827",,Airbnb Inc
21,6,XOM,0,3,0,0,0,-1,0.027618209067081814,164.3400,$164.3400,0.9800,0.60%,(0.60%),568,/#E24A4A,Johnson & Johnson
22,4,LCID,0,3,0,0,0,-1,0.025126690991121702,137.1500,$137.1500,-1.4000,-1.01%,(-1.01%),389,/#3485FF,Walmart Inc
23,10,JNJ,0,3,0,0,0,-1,0.02233930320856363,116.2500,$116.2500,-0.0100,-0.01%,(-0.01%),285,/#3485FF,Starbucks Corporation
24,113,AMD,0,1,0,0,2,-1,0.017947561756873336,145.2400,,0.3900,0.27%,(0.27%),"10,491",,"Advanced Micro Devices, Inc."
25,13,BAC,0,3,0,0,0,-1,0.002904200686912064,62.4500,$62.4500,0.1800,0.29%,(0.29%),"1,300",/#E24A4A,Exxon Mobil Corp
