,sid,scode,click,unclick,buy,sell,first_exposed_time,last_interaction_time,p_berr,price,pricedollar,change,changepct,changepctparenthesis,volume,color,name
0,106,U,0,0,0,0,1,-1,0.7874086050559183,153.9400,,0.4400,0.29%,(0.29%),"4,894,760",,Unity Software Inc
1,100,FB,0,0,0,0,1,-1,0.7469273556000516,330.5600,,7.7500,2.40%,(2.40%),"19,937,722",,Meta Platforms Inc
2,15,MA,1,0,0,1,0,0,0.6667996895611091,334.9700,$334.9700,0.0500,0.01%,(0.01%),"24,760,988",/#E24A4A,Microsoft Corporation
3,2,GOOG,0,1,0,0,0,-1,0.5624243319137449,175.0800,$175.0800,3.9000,2.28%,(2.28%),"116,998,901",/#E24A4A,Apple Inc
4,5,NVDA,1,0,1,0,0,0,0.49969057312166343,116.2500,$116.2500,-0.0100,-0.01%,(-0.01%),"5,806,963",/#3485FF,Starbucks Corporation
5,19,NKE,0,1,0,0,0,-1,0.4518826247078948,153.9400,$153.9400,0.4400,0.29%,(0.29%),"4,894,760",/#E24A4A,Unity Software Inc
6,16,ADBE,0,1,0,0,0,-1,0.38987449302759347,208.9900,$208.9900,1.6200,0.78%,(0.78%),"11,749,206",/#E24A4A,Visa Inc
7,13,BAC,0,1,0,0,0,-1,0.3576835124967534,20.9700,$20.9700,-0.6000,-2.78%,(-2.78%),"4,611,596",/#3485FF,IONQ Inc
8,3,AMZN,0,1,0,0,0,-1,0.3509434688016476,164.3400,$164.3400,0.9800,0.60%,(0.60%),"6,216,391",/#E24A4A,Johnson & Johnson
9,17,NFLX,0,1,0,0,0,-1,0.3405814077913245,51.4000,$51.4000,-0.3200,-0.62%,(-0.62%),"37,429,199",/#3485FF,Pfizer Inc.
10,11,IONQ,0,1,0,0,0,-1,0.3365096591814073,10.3500,$10.3500,0.0600,0.58%,(0.58%),"6,110,440",/#E24A4A,Nikola Corporation
11,10,JNJ,0,1,0,0,0,-1,0.32976495054587146,186.4900,$186.4900,3.3500,1.83%,(1.83%),"4,218,671",/#E24A4A,Airbnb Inc
12,0,AAPL,1,0,0,1,0,0,0.2766344366212419,283.4000,$283.4000,1.0500,0.37%,(0.37%),"7,107,664",/#E24A4A,Moderna Inc
13,12,WMT,0,1,0,0,0,-1,0.2534591854736488,137.1500,$137.1500,-1.4000,-1.01%,(-1.01%),"11,498,754",/#3485FF,Walmart Inc
14,7,JPM,0,1,0,0,0,-1,0.19545698664310623,"3,523.1600","$3,523.1600",-0.1300,0.00%,(0.00%),"2,262,683",/#3485FF,"Amazon.com, Inc."
15,6,XOM,0,1,0,0,0,-1,0.17322214130022978,160.7100,$160.7100,-1.8600,-1.14%,(-1.14%),"11,705,673",/#3485FF,JPMorgan Chase & Co.
16,14,PG,0,1,0,0,0,-1,0.16542654308974108,330.5600,$330.5600,7.7500,2.40%,(2.40%),"19,937,722",/#E24A4A,Meta Platforms Inc
17,9,HD,0,1,0,0,0,-1,0.16139457686172917,318.2600,$318.2600,-6.0100,-1.85%,(-1.85%),"47,555,145",/#3485FF,NVIDIA Corporation
18,18,PFE,0,1,0,0,0,-1,0.14416738394779774,653.1000,$653.1000,3.1400,0.48%,(0.48%),"2,416,232",/#E24A4A,Adobe Inc
19,8,V,0,1,0,0,0,-1,0.11068859073349539,170.2500,$170.2500,-1.0400,-0.61%,(-0.61%),"5,614,587",/#3485FF,Nike Inc
20,4,LCID,0,1,0,0,0,-1,0.018682870244545697,628.0800,$628.0800,2.5000,0.40%,(0.40%),"2,220,308",/#E24A4A,Netflix Inc
21,1,MSFT,0,1,0,0,0,-1,0.018642571369825906,197.3500,$197.3500,6.3300,3.31%,(3.31%),"14,433,205",/#E24A4A,Paypal Holdings Inc
