,sid,scode,click,unclick,buy,sell,first_exposed_time,last_interaction_time,p_berr,price,pricedollar,change,changepct,changepctparenthesis,volume,color,name
0,112,ABNB,0,0,0,0,3,-1,0.7770237884833158,186.4900,,3.3500,1.83%,(1.83%),"4,218,671",,Airbnb Inc
1,104,DIS,0,1,0,0,3,-1,0.6526806228518118,153.3400,,2.5800,1.71%,(1.71%),"12,886,261",,Walt Disney Co
2,0,AAPL,3,0,1,2,0,2,0.5767683067869039,334.9700,$334.9700,0.0500,0.01%,(0.01%),"24,760,988",/#E24A4A,Microsoft Corporation
3,106,U,0,2,0,0,1,-1,0.38837647299728345,153.9400,,0.4400,0.29%,(0.29%),"4,894,760",,Unity Software Inc
4,17,NFLX,2,1,2,0,0,2,0.3311976369613341,"2,974.4100","$2,974.4100",13.6800,0.46%,(0.46%),"948,197",/#E24A4A,Alphabet Inc Class C
5,3,AMZN,1,2,0,1,0,1,0.2951128549190052,121.8000,$121.8000,-0.5200,-0.43%,(-0.43%),"5,795,681",/#3485FF,Taiwan Semiconductor Mfg. Co. Ltd.
6,10,JNJ,2,1,0,1,0,2,0.2761115142310775,411.2500,$411.2500,-4.7100,-1.13%,(-1.13%),"4,079,365",/#3485FF,Home Depot Inc
7,19,NKE,0,3,0,0,0,-1,0.27068866121890084,653.1000,$653.1000,3.1400,0.48%,(0.48%),"2,416,232",/#E24A4A,Adobe Inc
8,14,PG,0,3,0,0,0,-1,0.24958500530519417,44.7200,$44.7200,0.8400,1.91%,(1.91%),"50,135,877",/#E24A4A,Lucid Group Inc
9,2,GOOG,0,3,0,0,0,-1,0.2475133833343313,51.4000,$51.4000,-0.3200,-0.62%,(-0.62%),"37,429,199",/#3485FF,Pfizer Inc.
10,9,HD,0,3,0,0,0,-1,0.2340581666622215,170.2500,$170.2500,-1.0400,-0.61%,(-0.61%),"5,614,587",/#3485FF,Nike Inc
11,5,NVDA,1,2,1,0,0,0,0.22893963753135496,116.2500,$116.2500,-0.0100,-0.01%,(-0.01%),"5,806,963",/#3485FF,Starbucks Corporation
12,16,ADBE,1,2,0,0,0,1,0.22688779641188947,186.4900,$186.4900,3.3500,1.83%,(1.83%),"4,218,671",/#E24A4A,Airbnb Inc
13,7,JPM,1,2,0,1,0,2,0.19932582572675486,628.0800,$628.0800,2.5000,0.40%,(0.40%),"2,220,308",/#E24A4A,Netflix Inc
14,118,SBUX,0,1,0,0,2,-1,0.19192627536972073,116.2500,,-0.0100,-0.01%,(-0.01%),"5,806,963",,Starbucks Corporation
15,116,TSM,0,0,0,0,3,-1,0.18349050545714418,121.8000,,-0.5200,-0.43%,(-0.43%),"5,795,681",,Taiwan Semiconductor Mfg. Co. Ltd.
16,8,V,0,3,0,0,0,-1,0.11159885975074128,125.0800,$125.0800,-0.4900,-0.39%,(-0.39%),"22,275,034",/#3485FF,Alibaba Group Holding Ltd - ADR
17,15,MA,0,3,0,0,0,-1,0.10966094659631065,283.4000,$283.4000,1.0500,0.37%,(0.37%),"7,107,664",/#E24A4A,Moderna Inc
18,18,PFE,0,3,0,0,0,-1,0.08460900818744764,342.3400,$342.3400,2.8300,0.83%,(0.83%),"4,226,942",/#E24A4A,Mastercard Inc
19,100,FB,0,2,0,0,1,-1,0.08429363895491075,330.5600,,7.7500,2.40%,(2.40%),"19,937,722",,Meta Platforms Inc
20,11,IONQ,0,3,0,0,0,-1,0.07470278841138099,"3,523.1600","$3,523.1600",-0.1300,0.00%,(0.00%),"2,262,683",/#3485FF,"Amazon.com, Inc."
21,1,MSFT,0,3,0,0,0,-1,0.07110830444172406,44.1600,$44.1600,-0.5500,-1.23%,(-1.23%),"50,560,328",/#3485FF,Bank of America Corp
22,12,WMT,0,3,0,0,0,-1,0.06687480976670074,20.9700,$20.9700,-0.6000,-2.78%,(-2.78%),"4,611,596",/#3485FF,IONQ Inc
23,13,BAC,0,3,0,0,0,-1,0.06556142086130458,208.9900,$208.9900,1.6200,0.78%,(0.78%),"11,749,206",/#E24A4A,Visa Inc
24,6,XOM,0,3,0,0,0,-1,0.04811030264136401,318.2600,$318.2600,-6.0100,-1.85%,(-1.85%),"47,555,145",/#3485FF,NVIDIA Corporation
25,4,LCID,0,3,0,0,0,-1,0.04569896904796937,197.3500,$197.3500,6.3300,3.31%,(3.31%),"14,433,205",/#E24A4A,Paypal Holdings Inc
