,sid,scode,click,unclick,buy,sell,first_exposed_time,last_interaction_time,p_berr,price,pricedollar,change,changepct,changepctparenthesis,volume,color,name
0,2,GOOG,1,1,1000,0,0,1,0.9975952868227855,170.2500,$170.2500,-1.0400,-0.61%,(-0.61%),187,/#3485FF,Nike Inc
1,3,AMZN,1,1,1000,0,0,1,0.9953390037483039,628.0800,$628.0800,2.5000,0.40%,(0.40%),876,/#E24A4A,Netflix Inc
2,16,ADBE,1,1,300,0,0,0,0.9739874544689117,153.9400,$153.9400,0.4400,0.29%,(0.29%),"1,831",/#E24A4A,Unity Software Inc
3,10,JNJ,1,1,50,0,0,0,0.9649717844543869,51.4000,$51.4000,-0.3200,-0.62%,(-0.62%),"12,348",/#3485FF,Pfizer Inc.
4,4,LCID,1,1,0,50,0,1,0.8264865899588053,62.4500,$62.4500,0.1800,0.29%,(0.29%),"1,076",/#E24A4A,Exxon Mobil Corp
5,1,MSFT,0,2,0,0,0,-1,0.45249627801093956,160.7100,$160.7100,-1.8600,-1.14%,(-1.14%),945,/#3485FF,JPMorgan Chase & Co.
6,9,HD,0,2,0,0,0,-1,0.41377418177024894,"2,974.4100","$2,974.4100",13.6800,0.46%,(0.46%),210,/#E24A4A,Alphabet Inc Class C
7,108,MU,0,0,0,0,2,-1,0.36041330294851986,86.0200,,0.1900,0.22%,(0.22%),"0,721",,"Micron Technology, Inc."
8,17,NFLX,0,2,0,0,0,-1,0.3095859757983234,121.8000,$121.8000,-0.5200,-0.43%,(-0.43%),979,/#3485FF,Taiwan Semiconductor Mfg. Co. Ltd.
9,110,ASML,0,1,0,0,1,-1,0.2821144591521133,803.9200,,-2.0900,-0.26%,(-0.26%),"0,495",,ASML Holding NV
10,15,MA,0,2,0,0,0,-1,0.23380627470327975,334.9700,$334.9700,0.0500,0.01%,(0.01%),"6,141",/#E24A4A,Microsoft Corporation
11,0,AAPL,0,2,0,0,0,-1,0.1734500726235491,330.5600,$330.5600,7.7500,2.40%,(2.40%),"5,236",/#E24A4A,Meta Platforms Inc
12,13,BAC,0,2,0,0,0,-1,0.13374976569006305,164.3400,$164.3400,0.9800,0.60%,(0.60%),270,/#E24A4A,Johnson & Johnson
13,7,JPM,0,2,0,0,0,-1,0.11706610025582753,137.1500,$137.1500,-1.4000,-1.01%,(-1.01%),306,/#3485FF,Walmart Inc
14,12,WMT,0,2,0,0,0,-1,0.11389236656074958,153.3400,$153.3400,2.5800,1.71%,(1.71%),"3,113",/#E24A4A,Walt Disney Co
15,8,V,0,2,0,0,0,-1,0.11370488545905545,342.3400,$342.3400,2.8300,0.83%,(0.83%),85,/#E24A4A,Mastercard Inc
16,19,NKE,0,2,0,0,0,-1,0.1115518888501472,152.4300,$152.4300,0.6800,0.45%,(0.45%),35,/#E24A4A,Procter & Gamble Co
17,18,PFE,0,2,0,0,0,-1,0.11089904813318961,318.2600,$318.2600,-6.0100,-1.85%,(-1.85%),"17,815",/#3485FF,NVIDIA Corporation
18,5,NVDA,0,2,0,0,0,-1,0.09123427223536854,20.9700,$20.9700,-0.6000,-2.78%,(-2.78%),"25,869",/#3485FF,IONQ Inc
19,113,AMD,0,1,0,0,1,-1,0.08547736997118383,145.2400,,0.3900,0.27%,(0.27%),"5,542",,"Advanced Micro Devices, Inc."
20,6,XOM,0,2,0,0,0,-1,0.04039283253440224,124.7800,$124.7800,8.7900,7.58%,(7.58%),"5,893",/#E24A4A,Roblox Corp
21,11,IONQ,0,2,0,0,0,-1,0.016263149334423254,653.1000,$653.1000,3.1400,0.48%,(0.48%),109,/#E24A4A,Adobe Inc
22,116,TSM,0,0,0,0,-1,-1,0.004263412143431683,121.8000,,-0.5200,-0.43%,(-0.43%),"0,955",,Taiwan Semiconductor Mfg. Co. Ltd.
23,14,PG,0,2,0,0,0,-1,0.0035066446710767525,175.0800,$175.0800,3.9000,2.28%,(2.28%),"51,517",/#E24A4A,Apple Inc
