,sid,scode,click,unclick,buy,sell,first_exposed_time,last_interaction_time,p_berr,price,pricedollar,change,changepct,changepctparenthesis,volume,color,name
0,118,SBUX,0,0,0,0,4,-1,0.6845771905255946,113.3600,,2.1200,1.91%,(1.91%),"9,519",,Starbucks Corporation
1,3,AMZN,2,2,1,1,0,1,0.6380518498751298,44.1500,$44.1500,0.2800,0.64%,(0.64%),"9,616",/#E24A4A,Bank of America Corp
2,104,DIS,0,2,0,0,2,-1,0.5740110608431904,150.3700,,4.1500,2.84%,(2.84%),"15,997",,Walt Disney Co
3,106,U,0,1,0,0,3,-1,0.47873078896940663,147.5700,,0.6800,0.46%,(0.46%),"7,994",,Unity Software Inc
4,16,ADBE,2,2,1,1,0,1,0.4703590744049923,333.3300,$333.3300,11.2800,3.50%,(3.50%),"2,741",/#E24A4A,Mastercard Inc
5,117,MRNA,0,0,0,0,4,-1,0.42035663034898496,265.3300,,-41.3900,-13.49%,(-13.49%),"23,856",,Moderna Inc
6,0,AAPL,3,1,3,0,0,2,0.39283348170684723,139.0600,$139.0600,-4.9500,-3.44%,(-3.44%),"92,789",/#3485FF,"Advanced Micro Devices, Inc."
7,4,LCID,1,3,0,1,0,3,0.3799703091704229,612.6900,$612.6900,10.5600,1.75%,(1.75%),"4,169",/#E24A4A,Netflix Inc
8,1,MSFT,1,3,1,0,0,1,0.3450251341636178,415.7000,$415.7000,8.4500,2.07%,(2.07%),970,/#E24A4A,Home Depot Inc
9,15,MA,2,2,1,1,0,3,0.34447413300202523,113.3600,$113.3600,2.1200,1.91%,(1.91%),"9,519",/#E24A4A,Starbucks Corporation
10,2,GOOG,1,3,1,0,0,0,0.2659204349225095,165.3200,$165.3200,3.4800,2.15%,(2.15%),"174,360",/#E24A4A,Apple Inc
11,6,XOM,1,3,1,0,0,1,0.26581288379254997,326.1900,$326.1900,3.1800,0.98%,(0.98%),"35,814",/#E24A4A,Microsoft Corporation
12,10,JNJ,1,3,1,0,0,3,0.24658281487865766,61.5800,$61.5800,0.7000,1.15%,(1.15%),"1,445",/#E24A4A,Exxon Mobil Corp
13,100,FB,0,3,0,0,1,-1,0.22654183323775326,317.8700,,11.0300,3.59%,(3.59%),"30,554",,Meta Platforms Inc
14,17,NFLX,1,3,0,1,0,0,0.191512583294302,202.6800,$202.6800,6.3800,3.25%,(3.25%),"5,164",/#E24A4A,Visa Inc
15,7,JPM,0,4,0,0,0,-1,0.16235874524302787,18.7900,$18.7900,-0.0600,-0.32%,(-0.32%),"100,942",/#3485FF,IONQ Inc
16,12,WMT,0,4,0,0,0,-1,0.14945857129053203,152.1500,$152.1500,2.2600,1.51%,(1.51%),"2,463",/#E24A4A,Procter & Gamble Co
17,9,HD,0,4,0,0,0,-1,0.12471761438908388,123.6000,$123.6000,11.6400,10.40%,(10.40%),"401,895",/#E24A4A,Alibaba Group Holding Ltd - ADR
18,5,NVDA,0,4,0,0,0,-1,0.12180848769000048,265.3300,$265.3300,-41.3900,-13.49%,(-13.49%),"23,856",/#3485FF,Moderna Inc
19,103,RBLX,0,1,0,0,3,-1,0.12052087870653544,113.2500,,-0.5900,-0.52%,(-0.52%),"26,488",,Roblox Corp
20,14,PG,1,3,0,1,0,2,0.10386267807191849,119.1400,$119.1400,-0.3300,-0.28%,(-0.28%),"19,425",/#3485FF,Taiwan Semiconductor Mfg. Co. Ltd.
21,19,NKE,1,3,0,1,0,2,0.09731462384247822,317.8700,$317.8700,11.0300,3.59%,(3.59%),"30,554",/#E24A4A,Meta Platforms Inc
22,116,TSM,0,2,0,0,2,-1,0.07549121024044257,119.1400,,-0.3300,-0.28%,(-0.28%),"19,425",,Taiwan Semiconductor Mfg. Co. Ltd.
23,11,IONQ,0,4,0,0,0,-1,0.07470027928856629,622.0400,$622.0400,5.5100,0.89%,(0.89%),"1,388",/#E24A4A,Adobe Inc
24,13,BAC,0,4,0,0,0,-1,0.04384298048180183,"3,427.3700","$3,427.3700",37.5800,1.11%,(1.11%),"4,678",/#E24A4A,"Amazon.com, Inc."
25,8,V,0,4,0,0,0,-1,0.04201712464473698,162.9400,$162.9400,3.5600,2.23%,(2.23%),486,/#E24A4A,Johnson & Johnson
26,18,PFE,0,4,0,0,0,-1,0.02212753524679789,113.2500,$113.2500,-0.5900,-0.52%,(-0.52%),"26,488",/#3485FF,Roblox Corp
27,112,ABNB,0,3,0,0,1,-1,0.0022892063443836473,180.8500,,14.1000,8.46%,(8.46%),"14,958",,Airbnb Inc
