,sid,scode,click,unclick,buy,sell,first_exposed_time,last_interaction_time,p_berr,price,pricedollar,change,changepct,changepctparenthesis,volume,color,name
0,119,MRNA,1,0,11,0,4,-1,0.9616039060344613,283.4000,,1.0500,0.37%,(0.37%),"7,107,664",,Moderna Inc
1,0,AAPL,4,0,3,1,0,3,0.7680623480794145,283.4000,$283.4000,1.0500,0.37%,(0.37%),"7,107,664",/#E24A4A,Moderna Inc
2,5,NVDA,2,2,2,0,0,1,0.701797040203166,116.2500,$116.2500,-0.0100,-0.01%,(-0.01%),"5,806,963",/#3485FF,Starbucks Corporation
3,12,WMT,2,2,0,1,0,3,0.5787228336966385,137.1500,$137.1500,-1.4000,-1.01%,(-1.01%),"11,498,754",/#3485FF,Walmart Inc
4,3,AMZN,1,3,0,1,0,2,0.5179567211228705,164.3400,$164.3400,0.9800,0.60%,(0.60%),"6,216,391",/#E24A4A,Johnson & Johnson
5,118,SBUX,0,2,0,0,2,-1,0.4548617929043883,116.2500,,-0.0100,-0.01%,(-0.01%),"5,806,963",,Starbucks Corporation
6,116,TSM,0,1,0,0,3,-1,0.446885944106541,121.8000,,-0.5200,-0.43%,(-0.43%),"5,795,681",,Taiwan Semiconductor Mfg. Co. Ltd.
7,1,MSFT,1,3,0,1,0,1,0.3638083191374612,197.3500,$197.3500,6.3300,3.31%,(3.31%),"14,433,205",/#E24A4A,Paypal Holdings Inc
8,15,MA,2,2,0,2,0,2,0.3612079005680682,334.9700,$334.9700,0.0500,0.01%,(0.01%),"24,760,988",/#E24A4A,Microsoft Corporation
9,114,BABA,0,0,0,0,4,-1,0.3415468229027529,125.0800,,-0.4900,-0.39%,(-0.39%),"22,275,034",,Alibaba Group Holding Ltd - ADR
10,7,JPM,1,3,0,1,0,3,0.3169402409312473,"3,523.1600","$3,523.1600",-0.1300,0.00%,(0.00%),"2,262,683",/#3485FF,"Amazon.com, Inc."
11,112,ABNB,0,1,0,0,3,-1,0.19745251810322076,186.4900,,3.3500,1.83%,(1.83%),"4,218,671",,Airbnb Inc
12,2,GOOG,0,4,0,0,0,-1,0.16178916972033142,175.0800,$175.0800,3.9000,2.28%,(2.28%),"116,998,901",/#E24A4A,Apple Inc
13,9,HD,0,4,0,0,0,-1,0.15475872527691345,318.2600,$318.2600,-6.0100,-1.85%,(-1.85%),"47,555,145",/#3485FF,NVIDIA Corporation
14,104,DIS,0,2,0,0,2,-1,0.15023464704650022,153.3400,,2.5800,1.71%,(1.71%),"12,886,261",,Walt Disney Co
15,16,ADBE,0,4,0,0,0,-1,0.10632304382356846,208.9900,$208.9900,1.6200,0.78%,(0.78%),"11,749,206",/#E24A4A,Visa Inc
16,106,U,0,3,0,0,1,-1,0.10266131639586777,153.9400,,0.4400,0.29%,(0.29%),"4,894,760",,Unity Software Inc
17,6,XOM,0,4,0,0,0,-1,0.09693187532531214,160.7100,$160.7100,-1.8600,-1.14%,(-1.14%),"11,705,673",/#3485FF,JPMorgan Chase & Co.
18,10,JNJ,0,4,0,0,0,-1,0.09521264197822227,186.4900,$186.4900,3.3500,1.83%,(1.83%),"4,218,671",/#E24A4A,Airbnb Inc
19,17,NFLX,1,3,0,0,0,3,0.09446037417263993,51.4000,$51.4000,-0.3200,-0.62%,(-0.62%),"37,429,199",/#3485FF,Pfizer Inc.
20,13,BAC,1,3,1,0,0,2,0.08507540786478858,20.9700,$20.9700,-0.6000,-2.78%,(-2.78%),"4,611,596",/#3485FF,IONQ Inc
21,19,NKE,0,4,0,0,0,-1,0.074749377261867,153.9400,$153.9400,0.4400,0.29%,(0.29%),"4,894,760",/#E24A4A,Unity Software Inc
22,11,IONQ,0,4,0,0,0,-1,0.06152493832930209,10.3500,$10.3500,0.0600,0.58%,(0.58%),"6,110,440",/#E24A4A,Nikola Corporation
23,14,PG,0,4,0,0,0,-1,0.04817008200335442,330.5600,$330.5600,7.7500,2.40%,(2.40%),"19,937,722",/#E24A4A,Meta Platforms Inc
24,8,V,0,4,0,0,0,-1,0.042141870423169504,170.2500,$170.2500,-1.0400,-0.61%,(-0.61%),"5,614,587",/#3485FF,Nike Inc
25,18,PFE,0,4,0,0,0,-1,0.03368490543517067,653.1000,$653.1000,3.1400,0.48%,(0.48%),"2,416,232",/#E24A4A,Adobe Inc
26,4,LCID,0,4,0,0,0,-1,0.0251719648736361,628.0800,$628.0800,2.5000,0.40%,(0.40%),"2,220,308",/#E24A4A,Netflix Inc
27,100,FB,0,3,0,0,1,-1,0.024631259833202676,330.5600,,7.7500,2.40%,(2.40%),"19,937,722",,Meta Platforms Inc
