,sid,scode,click,unclick,buy,sell,first_exposed_time,last_interaction_time,p_berr,price,pricedollar,change,changepct,changepctparenthesis,volume,color,name
0,102,RIVN,0,0,0,0,5,-1,0.883177534941946,116.7800,,12.1100,11.57%,(11.57%),"88,461",,Rivian Automotive Inc
1,106,U,0,0,0,0,5,-1,0.875285646049959,147.5700,,0.6800,0.46%,(0.46%),"10,685",,Unity Software Inc
2,11,IONQ,1,4,1,0,0,2,0.5205267281084823,317.8700,$317.8700,11.0300,3.59%,(3.59%),"42,339",/#E24A4A,Meta Platforms Inc
3,8,V,2,3,1,0,0,2,0.3786694556080514,51.4800,$51.4800,-2.7800,-5.12%,(-5.12%),"48,289",/#3485FF,Pfizer Inc.
4,3,AMZN,2,3,3,0,0,4,0.3301956593731834,61.5800,$61.5800,0.7000,1.15%,(1.15%),"2,541",/#E24A4A,Exxon Mobil Corp
5,6,XOM,1,4,0,0,0,1,0.23379779601136166,"3,427.3700","$3,427.3700",37.5800,1.11%,(1.11%),"6,722",/#E24A4A,"Amazon.com, Inc."
6,1,MSFT,1,4,2,0,0,3,0.20666356730001711,"2,875.9300","$2,875.9300",25.5200,0.90%,(0.90%),"2,271",/#E24A4A,Alphabet Inc Class C
7,9,HD,1,4,0,0,0,4,0.2022274383144893,152.1500,$152.1500,2.2600,1.51%,(1.51%),"7,165",/#E24A4A,Procter & Gamble Co
8,118,SBUX,0,4,0,0,1,-1,0.19079905310311798,113.3600,,2.1200,1.91%,(1.91%),"11,019",,Starbucks Corporation
9,2,GOOG,1,4,1,0,0,1,0.18404191296459743,612.6900,$612.6900,10.5600,1.75%,(1.75%),"5,328",/#E24A4A,Netflix Inc
10,18,PFE,0,5,0,0,0,-1,0.17949315962315207,415.7000,$415.7000,8.4500,2.07%,(2.07%),"1,705",/#E24A4A,Home Depot Inc
11,113,AMD,0,1,0,0,4,-1,0.17601674922681756,139.0600,,-4.9500,-3.44%,(-3.44%),"105,643",,"Advanced Micro Devices, Inc."
12,17,NFLX,0,5,0,0,0,-1,0.15054558740589863,326.1900,$326.1900,3.1800,0.98%,(0.98%),"46,988",/#E24A4A,Microsoft Corporation
13,0,AAPL,1,4,1,0,0,4,0.138858573498776,139.0000,$139.0000,1.5200,1.11%,(1.11%),"1,107",/#E24A4A,Walmart Inc
14,14,PG,1,4,3,0,0,3,0.11988612251775535,18.7900,$18.7900,-0.0600,-0.32%,(-0.32%),"119,310",/#3485FF,IONQ Inc
15,5,NVDA,1,4,1,0,0,3,0.11831825875381641,139.0600,$139.0600,-4.9500,-3.44%,(-3.44%),"110,725",/#3485FF,"Advanced Micro Devices, Inc."
16,13,BAC,1,4,1,0,0,4,0.1095932841986771,265.3300,$265.3300,-41.3900,-13.49%,(-13.49%),"29,805",/#3485FF,Moderna Inc
17,7,JPM,1,4,0,0,0,1,0.09761475310311007,44.8600,$44.8600,-2.4100,-5.10%,(-5.10%),"336,466",/#3485FF,Lucid Group Inc
18,19,NKE,0,5,0,0,0,-1,0.09497753490144488,168.9100,$168.9100,-1.3600,-0.80%,(-0.80%),"4,118",/#3485FF,Nike Inc
19,15,MA,1,4,1,0,0,2,0.09047143724790396,116.7800,$116.7800,12.1100,11.57%,(11.57%),"101,042",/#E24A4A,Rivian Automotive Inc
20,100,FB,0,2,0,0,3,-1,0.0855440317956116,317.8700,,11.0300,3.59%,(3.59%),"36,789",,Meta Platforms Inc
21,12,WMT,0,5,0,0,0,-1,0.08306283095507341,622.0400,$622.0400,5.5100,0.89%,(0.89%),"1,933",/#E24A4A,Adobe Inc
22,103,RBLX,0,1,0,0,4,-1,0.0814449712302619,113.2500,,-0.5900,-0.52%,(-0.52%),"34,082",,Roblox Corp
23,10,JNJ,0,5,0,0,0,-1,0.07785939407009584,147.5700,$147.5700,0.6800,0.46%,(0.46%),"12,256",/#E24A4A,Unity Software Inc
24,116,TSM,0,4,0,0,1,-1,0.07325362166191551,119.1400,,-0.3300,-0.28%,(-0.28%),"22,268",,Taiwan Semiconductor Mfg. Co. Ltd.
25,4,LCID,1,4,0,0,0,1,0.05956030323591236,162.9400,$162.9400,3.5600,2.23%,(2.23%),773,/#E24A4A,Johnson & Johnson
26,16,ADBE,0,5,0,0,0,-1,0.05394975407663772,205.8800,$205.8800,7.3900,3.72%,(3.72%),"17,300",/#E24A4A,Boeing Co
27,104,DIS,0,3,0,0,2,-1,0.042723124160850875,150.3700,,4.1500,2.84%,(2.84%),"18,311",,Walt Disney Co
28,117,MRNA,0,2,0,0,3,-1,0.03794746585767009,265.3300,,-41.3900,-13.49%,(-13.49%),"28,493",,Moderna Inc
29,115,BA,0,3,0,0,2,-1,0.0006049974335315136,205.8800,,7.3900,3.72%,(3.72%),"13,538",,Boeing Co
