,sid,scode,click,unclick,buy,sell,first_exposed_time,last_interaction_time,p_berr,price,pricedollar,change,changepct,changepctparenthesis,volume,color,name
0,3,AMZN,2,3,1050,0,0,2,0.9913827201670935,"2,974.4100","$2,974.4100",13.6800,0.46%,(0.46%),210,/#E24A4A,Alphabet Inc Class C
1,14,PG,1,4,500,0,0,3,0.9894849325406346,330.5600,$330.5600,7.7500,2.40%,(2.40%),"5,739",/#E24A4A,Meta Platforms Inc
2,4,LCID,1,4,1000,0,0,1,0.9861594722716589,"3,523.1600","$3,523.1600",-0.1300,0.00%,(0.00%),417,/#3485FF,"Amazon.com, Inc."
3,12,WMT,1,4,100,0,0,4,0.9440570282098902,124.7800,$124.7800,8.7900,7.58%,(7.58%),"7,987",/#E24A4A,Roblox Corp
4,16,ADBE,1,4,0,100,0,4,0.9376713552755872,121.8000,$121.8000,-0.5200,-0.43%,(-0.43%),"1,019",/#3485FF,Taiwan Semiconductor Mfg. Co. Ltd.
5,15,MA,1,4,0,100,0,4,0.9038527327450042,1.1600,$1.1600,0.0400,3.57%,(3.57%),"21,173",/#E24A4A,Camber Energy Inc
6,1,MSFT,1,4,100,0,0,0,0.893570943381108,44.7200,$44.7200,0.8400,1.91%,(1.91%),"349,871",/#E24A4A,Lucid Group Inc
7,6,XOM,1,4,100,0,0,1,0.8730027633427097,62.4500,$62.4500,0.1800,0.29%,(0.29%),"1,076",/#E24A4A,Exxon Mobil Corp
8,17,NFLX,1,4,50,0,0,3,0.8659826836497764,51.4000,$51.4000,-0.3200,-0.62%,(-0.62%),"12,654",/#3485FF,Pfizer Inc.
9,2,GOOG,1,4,50,0,0,0,0.861630811298996,318.2600,$318.2600,-6.0100,-1.85%,(-1.85%),"20,462",/#3485FF,NVIDIA Corporation
10,0,AAPL,1,4,50,0,0,0,0.8166258462451079,160.7100,$160.7100,-1.8600,-1.14%,(-1.14%),946,/#3485FF,JPMorgan Chase & Co.
11,7,JPM,1,4,50,0,0,2,0.7952994863289407,175.0800,$175.0800,3.9000,2.28%,(2.28%),"67,938",/#E24A4A,Apple Inc
12,19,NKE,1,4,30,0,0,3,0.7613204292414285,153.9400,$153.9400,0.4400,0.29%,(0.29%),"1,909",/#E24A4A,Unity Software Inc
13,111,CEI,0,1,0,0,4,-1,0.5222840896724559,1.1600,,0.0400,3.57%,(3.57%),"17,233",,Camber Energy Inc
14,5,NVDA,1,4,10,0,0,1,0.5174354466373517,653.1000,$653.1000,3.1400,0.48%,(0.48%),109,/#E24A4A,Adobe Inc
15,106,U,0,1,0,0,4,-1,0.4280998197519555,153.9400,,0.4400,0.29%,(0.29%),"1,194",,Unity Software Inc
16,104,DIS,0,0,0,0,5,-1,0.3255623162983033,153.3400,,2.5800,1.71%,(1.71%),"2,675",,Walt Disney Co
17,103,RBLX,0,0,0,0,5,-1,0.290910628306066,124.7800,,8.7900,7.58%,(7.58%),"4,551",,Roblox Corp
18,100,FB,0,2,0,0,3,-1,0.1818250892936996,330.5600,,7.7500,2.40%,(2.40%),"4,923",,Meta Platforms Inc
19,9,HD,0,5,0,0,0,-1,0.13651985582720502,411.2500,$411.2500,-4.7100,-1.13%,(-1.13%),79,/#3485FF,Home Depot Inc
20,116,TSM,0,3,0,0,2,-1,0.10121755603275395,121.8000,,-0.5200,-0.43%,(-0.43%),"0,955",,Taiwan Semiconductor Mfg. Co. Ltd.
21,110,ASML,0,4,0,0,1,-1,0.07000657496598854,803.9200,,-2.0900,-0.26%,(-0.26%),"0,495",,ASML Holding NV
22,18,PFE,0,5,0,0,0,-1,0.05008318845732833,86.0200,$86.0200,0.1900,0.22%,(0.22%),"1,042",/#E24A4A,"Micron Technology, Inc."
23,10,JNJ,0,5,0,0,0,-1,0.04150465612643517,334.9700,$334.9700,0.0500,0.01%,(0.01%),"6,884",/#E24A4A,Microsoft Corporation
24,108,MU,0,3,0,0,2,-1,0.0400677883586341,86.0200,,0.1900,0.22%,(0.22%),"0,721",,"Micron Technology, Inc."
25,11,IONQ,0,5,0,0,0,-1,0.03313969607818371,153.3400,$153.3400,2.5800,1.71%,(1.71%),"3,423",/#E24A4A,Walt Disney Co
26,113,AMD,0,4,0,0,1,-1,0.026630759646121972,145.2400,,0.3900,0.27%,(0.27%),"5,542",,"Advanced Micro Devices, Inc."
27,8,V,0,5,0,0,0,-1,0.016098276815375928,164.3400,$164.3400,0.9800,0.60%,(0.60%),270,/#E24A4A,Johnson & Johnson
28,119,MRNA,0,2,0,0,3,-1,0.01342889424036927,283.4000,,1.0500,0.37%,(0.37%),"2,866",,Moderna Inc
29,13,BAC,0,5,0,0,0,-1,0.004589494664880838,283.4000,$283.4000,1.0500,0.37%,(0.37%),"3,290",/#E24A4A,Moderna Inc
