,sid,scode,click,unclick,buy,sell,first_exposed_time,last_interaction_time,p_berr,price,pricedollar,change,changepct,changepctparenthesis,volume,color,name
0,2,GOOG,1,4,1000,0,0,1,0.9907301252289321,44.7200,$44.7200,0.8400,1.91%,(1.91%),"454,589",/#E24A4A,Lucid Group Inc
1,14,PG,2,3,100,400,0,4,0.9858892238942059,628.0800,$628.0800,2.5000,0.40%,(0.40%),"1,171",/#E24A4A,Netflix Inc
2,15,MA,1,4,500,0,0,3,0.9838995229989599,160.7100,$160.7100,-1.8600,-1.14%,(-1.14%),"1,273",/#3485FF,JPMorgan Chase & Co.
3,8,V,2,3,400,0,0,3,0.9834412361822554,121.8000,$121.8000,-0.5200,-0.43%,(-0.43%),"1,470",/#3485FF,Taiwan Semiconductor Mfg. Co. Ltd.
4,7,JPM,1,4,300,0,0,4,0.9798123032683985,342.3400,$342.3400,2.8300,0.83%,(0.83%),91,/#E24A4A,Mastercard Inc
5,10,JNJ,1,4,0,300,0,2,0.9785255238747762,318.2600,$318.2600,-6.0100,-1.85%,(-1.85%),"25,717",/#3485FF,NVIDIA Corporation
6,11,IONQ,2,3,400,0,0,4,0.9752650411644744,153.3400,$153.3400,2.5800,1.71%,(1.71%),"3,983",/#E24A4A,Walt Disney Co
7,12,WMT,1,4,200,0,0,2,0.9599114486741027,20.9700,$20.9700,-0.6000,-2.78%,(-2.78%),"49,805",/#3485FF,IONQ Inc
8,0,AAPL,2,3,200,0,0,2,0.9544460885265112,"3,523.1600","$3,523.1600",-0.1300,0.00%,(0.00%),496,/#3485FF,"Amazon.com, Inc."
9,5,NVDA,1,4,100,0,0,0,0.9342320529173714,137.1500,$137.1500,-1.4000,-1.01%,(-1.01%),360,/#3485FF,Walmart Inc
10,118,SBUX,0,0,0,0,5,-1,0.8851749475194084,116.2500,,-0.0100,-0.01%,(-0.01%),"0,242",,Starbucks Corporation
11,107,NKLA,0,1,0,0,4,-1,0.8107796202397032,10.3500,,0.0600,0.58%,(0.58%),"20,484",,Nikola Corporation
12,103,RBLX,0,1,0,0,4,-1,0.5471598088369547,124.7800,,8.7900,7.58%,(7.58%),"8,467",,Roblox Corp
13,116,TSM,0,2,0,0,3,-1,0.43851332791774045,121.8000,,-0.5200,-0.43%,(-0.43%),"1,313",,Taiwan Semiconductor Mfg. Co. Ltd.
14,115,BA,0,0,0,0,5,-1,0.2502048073380098,211.0300,,2.1100,1.01%,(1.01%),"1,827",,Boeing Co
15,100,FB,0,4,0,0,1,-1,0.19987692798682105,330.5600,,7.7500,2.40%,(2.40%),"6,838",,Meta Platforms Inc
16,3,AMZN,0,5,0,0,0,-1,0.15275411708580586,411.2500,$411.2500,-4.7100,-1.13%,(-1.13%),79,/#3485FF,Home Depot Inc
17,13,BAC,0,5,0,0,0,-1,0.09413217664325615,62.4500,$62.4500,0.1800,0.29%,(0.29%),"1,287",/#E24A4A,Exxon Mobil Corp
18,106,U,0,2,0,0,3,-1,0.061359163266160574,153.9400,,0.4400,0.29%,(0.29%),"3,258",,Unity Software Inc
19,113,AMD,0,3,0,0,2,-1,0.04596205282738171,145.2400,,0.3900,0.27%,(0.27%),"10,491",,"Advanced Micro Devices, Inc."
20,9,HD,0,5,0,0,0,-1,0.03204194772667115,145.2400,$145.2400,0.3900,0.27%,(0.27%),"11,562",/#E24A4A,"Advanced Micro Devices, Inc."
21,1,MSFT,0,5,0,0,0,-1,0.030113186964913816,334.9700,$334.9700,0.0500,0.01%,(0.01%),"8,707",/#E24A4A,Microsoft Corporation
22,112,ABNB,0,4,0,0,1,-1,0.023765572076420556,186.4900,,3.3500,1.83%,(1.83%),"1,827",,Airbnb Inc
23,19,NKE,0,5,0,0,0,-1,0.017891185516605,208.9900,$208.9900,1.6200,0.78%,(0.78%),725,/#E24A4A,Visa Inc
24,104,DIS,0,3,0,0,2,-1,0.015164584233353571,153.3400,,2.5800,1.71%,(1.71%),"3,549",,Walt Disney Co
25,6,XOM,0,5,0,0,0,-1,0.013081782429918684,51.4000,$51.4000,-0.3200,-0.62%,(-0.62%),"15,279",/#3485FF,Pfizer Inc.
26,16,ADBE,0,5,0,0,0,-1,0.01298568764394956,152.4300,$152.4300,0.6800,0.45%,(0.45%),43,/#E24A4A,Procter & Gamble Co
27,17,NFLX,0,5,0,0,0,-1,0.011628091914997165,116.2500,$116.2500,-0.0100,-0.01%,(-0.01%),285,/#3485FF,Starbucks Corporation
28,18,PFE,0,5,0,0,0,-1,0.0022031859575659674,211.0300,$211.0300,2.1100,1.01%,(1.01%),"2,157",/#E24A4A,Boeing Co
29,4,LCID,0,5,0,0,0,-1,0.0005873451438882416,653.1000,$653.1000,3.1400,0.48%,(0.48%),144,/#E24A4A,Adobe Inc
