,sid,scode,click,unclick,buy,sell,first_exposed_time,last_interaction_time,p_berr,price,pricedollar,change,changepct,changepctparenthesis,volume,color,name
0,3,AMZN,1,2,1000,0,0,1,0.9967408988538343,628.0800,$628.0800,2.5000,0.40%,(0.40%),876,/#E24A4A,Netflix Inc
1,2,GOOG,1,2,1000,0,0,1,0.9948849895749149,170.2500,$170.2500,-1.0400,-0.61%,(-0.61%),187,/#3485FF,Nike Inc
2,7,JPM,1,2,1000,0,0,2,0.9944985268128531,137.1500,$137.1500,-1.4000,-1.01%,(-1.01%),306,/#3485FF,Walmart Inc
3,4,LCID,2,1,500,50,0,2,0.9932478260242011,62.4500,$62.4500,0.1800,0.29%,(0.29%),"1,076",/#E24A4A,Exxon Mobil Corp
4,16,ADBE,1,2,300,0,0,0,0.9780985320441324,153.9400,$153.9400,0.4400,0.29%,(0.29%),"1,831",/#E24A4A,Unity Software Inc
5,5,NVDA,1,2,500,0,0,2,0.9760970678070249,20.9700,$20.9700,-0.6000,-2.78%,(-2.78%),"25,869",/#3485FF,IONQ Inc
6,100,FB,0,0,0,0,3,-1,0.920949436931861,330.5600,,7.7500,2.40%,(2.40%),"4,923",,Meta Platforms Inc
7,10,JNJ,1,2,50,0,0,0,0.8909618573827356,51.4000,$51.4000,-0.3200,-0.62%,(-0.62%),"12,348",/#3485FF,Pfizer Inc.
8,116,TSM,0,1,0,0,3,-1,0.7535280787387777,121.8000,,-0.5200,-0.43%,(-0.43%),"0,955",,Taiwan Semiconductor Mfg. Co. Ltd.
9,17,NFLX,0,3,0,0,0,-1,0.42069926545656733,121.8000,$121.8000,-0.5200,-0.43%,(-0.43%),979,/#3485FF,Taiwan Semiconductor Mfg. Co. Ltd.
10,6,XOM,0,3,0,0,0,-1,0.35374837643950235,124.7800,$124.7800,8.7900,7.58%,(7.58%),"5,893",/#E24A4A,Roblox Corp
11,108,MU,0,1,0,0,2,-1,0.25282907705341,86.0200,,0.1900,0.22%,(0.22%),"0,721",,"Micron Technology, Inc."
12,9,HD,0,3,0,0,0,-1,0.18762525335522637,"2,974.4100","$2,974.4100",13.6800,0.46%,(0.46%),210,/#E24A4A,Alphabet Inc Class C
13,11,IONQ,0,3,0,0,0,-1,0.15662071550767925,653.1000,$653.1000,3.1400,0.48%,(0.48%),109,/#E24A4A,Adobe Inc
14,0,AAPL,0,3,0,0,0,-1,0.12313147532721212,330.5600,$330.5600,7.7500,2.40%,(2.40%),"5,236",/#E24A4A,Meta Platforms Inc
15,119,MRNA,0,0,0,0,3,-1,0.10082886223396416,283.4000,,1.0500,0.37%,(0.37%),"2,866",,Moderna Inc
16,8,V,0,3,0,0,0,-1,0.09767957307241451,342.3400,$342.3400,2.8300,0.83%,(0.83%),85,/#E24A4A,Mastercard Inc
17,19,NKE,0,3,0,0,0,-1,0.09622489216525072,152.4300,$152.4300,0.6800,0.45%,(0.45%),35,/#E24A4A,Procter & Gamble Co
18,1,MSFT,0,3,0,0,0,-1,0.07245762843282348,160.7100,$160.7100,-1.8600,-1.14%,(-1.14%),945,/#3485FF,JPMorgan Chase & Co.
19,18,PFE,0,3,0,0,0,-1,0.052109181132672704,318.2600,$318.2600,-6.0100,-1.85%,(-1.85%),"17,815",/#3485FF,NVIDIA Corporation
20,12,WMT,0,3,0,0,0,-1,0.04281260728664182,153.3400,$153.3400,2.5800,1.71%,(1.71%),"3,113",/#E24A4A,Walt Disney Co
21,113,AMD,0,2,0,0,1,-1,0.03963485809911334,145.2400,,0.3900,0.27%,(0.27%),"5,542",,"Advanced Micro Devices, Inc."
22,14,PG,0,3,0,0,0,-1,0.025951626625074924,175.0800,$175.0800,3.9000,2.28%,(2.28%),"51,517",/#E24A4A,Apple Inc
23,110,ASML,0,2,0,0,1,-1,0.020764871045304008,803.9200,,-2.0900,-0.26%,(-0.26%),"0,495",,ASML Holding NV
24,13,BAC,0,3,0,0,0,-1,0.018936688970020668,164.3400,$164.3400,0.9800,0.60%,(0.60%),270,/#E24A4A,Johnson & Johnson
25,15,MA,0,3,0,0,0,-1,0.0073270070387650285,334.9700,$334.9700,0.0500,0.01%,(0.01%),"6,141",/#E24A4A,Microsoft Corporation
