,sid,scode,click,unclick,buy,sell,first_exposed_time,last_interaction_time,p_berr,price,pricedollar,change,changepct,changepctparenthesis,volume,color,name
0,0,AAPL,0,0,0,0,0,-1,0.5382731717977504,153.9400,$153.9400,0.4400,0.29%,(0.29%),"4,894,760",/#E24A4A,Unity Software Inc
1,1,MSFT,0,0,0,0,0,-1,0.5053041704371896,"2,974.4100","$2,974.4100",13.6800,0.46%,(0.46%),"948,197",/#E24A4A,Alphabet Inc Class C
2,2,GOOG,0,0,0,0,0,-1,0.437636560699047,137.1500,$137.1500,-1.4000,-1.01%,(-1.01%),"11,498,754",/#3485FF,Walmart Inc
3,3,AMZN,0,0,0,0,0,-1,0.3935648750104622,145.2400,$145.2400,0.3900,0.27%,(0.27%),"40,977,478",/#E24A4A,"Advanced Micro Devices, Inc."
4,4,LCID,0,0,0,0,0,-1,0.3839098272621956,208.9900,$208.9900,1.6200,0.78%,(0.78%),"11,749,206",/#E24A4A,Visa Inc
5,5,NVDA,0,0,0,0,0,-1,0.36981131426406794,330.5600,$330.5600,7.7500,2.40%,(2.40%),"19,937,722",/#E24A4A,Meta Platforms Inc
6,6,XOM,0,0,0,0,0,-1,0.3107546678829865,318.2600,$318.2600,-6.0100,-1.85%,(-1.85%),"47,555,145",/#3485FF,NVIDIA Corporation
7,7,JPM,0,0,0,0,0,-1,0.2891702154377737,44.7200,$44.7200,0.8400,1.91%,(1.91%),"50,135,877",/#E24A4A,Lucid Group Inc
8,8,V,0,0,0,0,0,-1,0.2664917103063453,44.1600,$44.1600,-0.5500,-1.23%,(-1.23%),"50,560,328",/#3485FF,Bank of America Corp
9,9,HD,0,0,0,0,0,-1,0.24580187145003937,153.3400,$153.3400,2.5800,1.71%,(1.71%),"12,886,261",/#E24A4A,Walt Disney Co
10,10,JNJ,0,0,0,0,0,-1,0.22356341792917858,283.4000,$283.4000,1.0500,0.37%,(0.37%),"7,107,664",/#E24A4A,Moderna Inc
11,11,IONQ,0,0,0,0,0,-1,0.21105685358705653,124.7800,$124.7800,8.7900,7.58%,(7.58%),"18,413,298",/#E24A4A,Roblox Corp
12,12,WMT,0,0,0,0,0,-1,0.1893574602981374,164.3400,$164.3400,0.9800,0.60%,(0.60%),"6,216,391",/#E24A4A,Johnson & Johnson
13,13,BAC,0,0,0,0,0,-1,0.16940312499107354,175.0800,$175.0800,3.9000,2.28%,(2.28%),"116,998,901",/#E24A4A,Apple Inc
14,14,PG,0,0,0,0,0,-1,0.16565955728391157,20.9700,$20.9700,-0.6000,-2.78%,(-2.78%),"4,611,596",/#3485FF,IONQ Inc
15,15,MA,0,0,0,0,0,-1,0.12633553565062672,51.4000,$51.4000,-0.3200,-0.62%,(-0.62%),"37,429,199",/#3485FF,Pfizer Inc.
16,16,ADBE,0,0,0,0,0,-1,0.10235771598504387,"3,523.1600","$3,523.1600",-0.1300,0.00%,(0.00%),"2,262,683",/#3485FF,"Amazon.com, Inc."
17,17,NFLX,0,0,0,0,0,-1,0.0981781768496822,342.3400,$342.3400,2.8300,0.83%,(0.83%),"4,226,942",/#E24A4A,Mastercard Inc
18,18,PFE,0,0,0,0,0,-1,0.09452953572808015,170.2500,$170.2500,-1.0400,-0.61%,(-0.61%),"5,614,587",/#3485FF,Nike Inc
19,19,NKE,0,0,0,0,0,-1,0.09322634127743197,116.2500,$116.2500,-0.0100,-0.01%,(-0.01%),"5,806,963",/#3485FF,Starbucks Corporation
