,sid,scode,click,unclick,buy,sell,first_exposed_time,last_interaction_time,p_berr,price,pricedollar,change,changepct,changepctparenthesis,volume,color,name
0,3,AMZN,1,1,3,0,0,1,0.7850016036019247,"2,974.4100","$2,974.4100",13.6800,0.46%,(0.46%),"948,197",/#E24A4A,Alphabet Inc Class C
1,13,BAC,1,1,2,0,0,0,0.7797974072225976,160.7100,$160.7100,-1.8600,-1.14%,(-1.14%),"11,705,673",/#3485FF,JPMorgan Chase & Co.
2,5,NVDA,1,1,3,0,0,0,0.6512256157170132,152.4300,$152.4300,0.6800,0.45%,(0.45%),"8,329,342",/#E24A4A,Procter & Gamble Co
3,12,WMT,1,1,0,3,0,1,0.5458077211397583,44.1600,$44.1600,-0.5500,-1.23%,(-1.23%),"50,560,328",/#3485FF,Bank of America Corp
4,19,NKE,1,1,2,0,0,1,0.40311896396154256,145.2400,$145.2400,0.3900,0.27%,(0.27%),"40,977,478",/#E24A4A,"Advanced Micro Devices, Inc."
5,16,ADBE,0,2,0,0,0,-1,0.3979582648253603,170.2500,$170.2500,-1.0400,-0.61%,(-0.61%),"5,614,587",/#3485FF,Nike Inc
6,17,NFLX,0,2,0,0,0,-1,0.34257290875612284,124.7800,$124.7800,8.7900,7.58%,(7.58%),"18,413,298",/#E24A4A,Roblox Corp
7,9,HD,0,2,0,0,0,-1,0.22670321704591018,164.3400,$164.3400,0.9800,0.60%,(0.60%),"6,216,391",/#E24A4A,Johnson & Johnson
8,6,XOM,0,2,0,0,0,-1,0.21487634102552333,44.7200,$44.7200,0.8400,1.91%,(1.91%),"50,135,877",/#E24A4A,Lucid Group Inc
9,100,FB,0,0,0,0,2,-1,0.21434666933010857,330.5600,,7.7500,2.40%,(2.40%),"19,937,722",,Meta Platforms Inc
10,0,AAPL,1,1,0,2,0,0,0.20950706610748293,468.8600,$468.8600,4.1300,0.89%,(0.89%),"3,228,297",/#E24A4A,UnitedHealth Group Inc
11,103,RBLX,0,1,0,0,1,-1,0.20298541231318573,124.7800,,8.7900,7.58%,(7.58%),"18,413,298",,Roblox Corp
12,2,GOOG,0,2,0,0,0,-1,0.18915647705822436,175.0800,$175.0800,3.9000,2.28%,(2.28%),"116,998,901",/#E24A4A,Apple Inc
13,110,ASML,0,0,0,0,2,-1,0.1511737420351554,803.9200,,-2.0900,-0.26%,(-0.26%),"551,528",,ASML Holding NV
14,14,PG,0,2,0,0,0,-1,0.13023579974931618,318.2600,$318.2600,-6.0100,-1.85%,(-1.85%),"47,555,145",/#3485FF,NVIDIA Corporation
15,8,V,0,2,0,0,0,-1,0.10199789093354933,20.9700,$20.9700,-0.6000,-2.78%,(-2.78%),"4,611,596",/#3485FF,IONQ Inc
16,4,LCID,0,2,0,0,0,-1,0.09968520374548702,208.9900,$208.9900,1.6200,0.78%,(0.78%),"11,749,206",/#E24A4A,Visa Inc
17,113,AMD,0,1,0,0,1,-1,0.08391624324449459,145.2400,,0.3900,0.27%,(0.27%),"40,977,478",,"Advanced Micro Devices, Inc."
18,1,MSFT,0,2,0,0,0,-1,0.0717966180786553,116.2500,$116.2500,-0.0100,-0.01%,(-0.01%),"5,806,963",/#3485FF,Starbucks Corporation
19,18,PFE,0,2,0,0,0,-1,0.037600903561059114,186.4900,$186.4900,3.3500,1.83%,(1.83%),"4,218,671",/#E24A4A,Airbnb Inc
20,11,IONQ,0,2,0,0,0,-1,0.02245283328399099,334.9700,$334.9700,0.0500,0.01%,(0.01%),"24,760,988",/#E24A4A,Microsoft Corporation
21,10,JNJ,0,2,0,0,0,-1,0.013534784695799228,"3,523.1600","$3,523.1600",-0.1300,0.00%,(0.00%),"2,262,683",/#3485FF,"Amazon.com, Inc."
22,15,MA,0,2,0,0,0,-1,0.012103561378134684,628.0800,$628.0800,2.5000,0.40%,(0.40%),"2,220,308",/#E24A4A,Netflix Inc
23,7,JPM,0,2,0,0,0,-1,0.01179912126646374,153.9400,$153.9400,0.4400,0.29%,(0.29%),"4,894,760",/#E24A4A,Unity Software Inc
