,sid,scode,click,unclick,buy,sell,first_exposed_time,last_interaction_time,p_berr,price,pricedollar,change,changepct,changepctparenthesis,volume,color,name
0,2,GOOG,1,1,1000,0,0,1,0.9961228062941991,44.7200,$44.7200,0.8400,1.91%,(1.91%),"454,589",/#E24A4A,Lucid Group Inc
1,0,AAPL,1,1,200,0,0,0,0.9834457560919592,"3,523.1600","$3,523.1600",-0.1300,0.00%,(0.00%),496,/#3485FF,"Amazon.com, Inc."
2,8,V,1,1,200,0,0,1,0.9829302771148506,121.8000,$121.8000,-0.5200,-0.43%,(-0.43%),"1,470",/#3485FF,Taiwan Semiconductor Mfg. Co. Ltd.
3,5,NVDA,1,1,100,0,0,0,0.9723421043826891,137.1500,$137.1500,-1.4000,-1.01%,(-1.01%),360,/#3485FF,Walmart Inc
4,14,PG,1,1,100,0,0,1,0.9394241764268191,628.0800,$628.0800,2.5000,0.40%,(0.40%),"1,171",/#E24A4A,Netflix Inc
5,104,DIS,0,0,0,0,2,-1,0.8278216888818173,153.3400,,2.5800,1.71%,(1.71%),"3,549",,Walt Disney Co
6,13,BAC,0,2,0,0,0,-1,0.49017934124649776,62.4500,$62.4500,0.1800,0.29%,(0.29%),"1,287",/#E24A4A,Exxon Mobil Corp
7,17,NFLX,0,2,0,0,0,-1,0.33671050492557525,116.2500,$116.2500,-0.0100,-0.01%,(-0.01%),285,/#3485FF,Starbucks Corporation
8,3,AMZN,0,2,0,0,0,-1,0.3316420637969363,411.2500,$411.2500,-4.7100,-1.13%,(-1.13%),79,/#3485FF,Home Depot Inc
9,6,XOM,0,2,0,0,0,-1,0.3217096685709503,51.4000,$51.4000,-0.3200,-0.62%,(-0.62%),"15,279",/#3485FF,Pfizer Inc.
10,18,PFE,0,2,0,0,0,-1,0.3115570396855026,211.0300,$211.0300,2.1100,1.01%,(1.01%),"2,157",/#E24A4A,Boeing Co
11,10,JNJ,0,2,0,0,0,-1,0.21963040315889426,318.2600,$318.2600,-6.0100,-1.85%,(-1.85%),"25,717",/#3485FF,NVIDIA Corporation
12,1,MSFT,0,2,0,0,0,-1,0.20876579698218017,334.9700,$334.9700,0.0500,0.01%,(0.01%),"8,707",/#E24A4A,Microsoft Corporation
13,15,MA,0,2,0,0,0,-1,0.14525940629510053,160.7100,$160.7100,-1.8600,-1.14%,(-1.14%),"1,273",/#3485FF,JPMorgan Chase & Co.
14,113,AMD,0,0,0,0,2,-1,0.1367393030427853,145.2400,,0.3900,0.27%,(0.27%),"10,491",,"Advanced Micro Devices, Inc."
15,11,IONQ,0,2,0,0,0,-1,0.11414342398959369,153.3400,$153.3400,2.5800,1.71%,(1.71%),"3,983",/#E24A4A,Walt Disney Co
16,4,LCID,0,2,0,0,0,-1,0.081450585885199,653.1000,$653.1000,3.1400,0.48%,(0.48%),144,/#E24A4A,Adobe Inc
17,112,ABNB,0,1,0,0,1,-1,0.05575185432887601,186.4900,,3.3500,1.83%,(1.83%),"1,827",,Airbnb Inc
18,19,NKE,0,2,0,0,0,-1,0.02620634753982491,208.9900,$208.9900,1.6200,0.78%,(0.78%),725,/#E24A4A,Visa Inc
19,7,JPM,0,2,0,0,0,-1,0.024420620935004987,342.3400,$342.3400,2.8300,0.83%,(0.83%),91,/#E24A4A,Mastercard Inc
20,9,HD,0,2,0,0,0,-1,0.023513274930500573,145.2400,$145.2400,0.3900,0.27%,(0.27%),"11,562",/#E24A4A,"Advanced Micro Devices, Inc."
21,16,ADBE,0,2,0,0,0,-1,0.020655740750155773,152.4300,$152.4300,0.6800,0.45%,(0.45%),43,/#E24A4A,Procter & Gamble Co
22,12,WMT,0,2,0,0,0,-1,0.01760704924507155,20.9700,$20.9700,-0.6000,-2.78%,(-2.78%),"49,805",/#3485FF,IONQ Inc
23,100,FB,0,1,0,0,1,-1,0.005949358150696668,330.5600,,7.7500,2.40%,(2.40%),"6,838",,Meta Platforms Inc
