,sid,scode,click,unclick,buy,sell,first_exposed_time,last_interaction_time,p_berr,price,pricedollar,change,changepct,changepctparenthesis,volume,color,name
0,0,AAPL,0,0,0,0,0,-1,0.6931608875388249,165.3200,$165.3200,3.4800,2.15%,(2.15%),"222,979",/#E24A4A,Apple Inc
1,1,MSFT,0,0,0,0,0,-1,0.6513637497024177,326.1900,$326.1900,3.1800,0.98%,(0.98%),"42,628",/#E24A4A,Microsoft Corporation
2,2,GOOG,0,0,0,0,0,-1,0.6285700428462339,"2,875.9300","$2,875.9300",25.5200,0.90%,(0.90%),"2,090",/#E24A4A,Alphabet Inc Class C
3,3,AMZN,0,0,0,0,0,-1,0.5283641979904723,"3,427.3700","$3,427.3700",37.5800,1.11%,(1.11%),"5,698",/#E24A4A,"Amazon.com, Inc."
4,4,LCID,0,0,0,0,0,-1,0.49592867915540395,44.8600,$44.8600,-2.4100,-5.10%,(-5.10%),"317,591",/#3485FF,Lucid Group Inc
5,5,NVDA,0,0,0,0,0,-1,0.42704608910113107,300.3700,$300.3700,-6.5600,-2.14%,(-2.14%),"142,897",/#3485FF,NVIDIA Corporation
6,6,XOM,0,0,0,0,0,-1,0.404133294818758,61.5800,$61.5800,0.7000,1.15%,(1.15%),"2,480",/#E24A4A,Exxon Mobil Corp
7,7,JPM,0,0,0,0,0,-1,0.3487980701968637,160.1600,$160.1600,1.9300,1.22%,(1.22%),"2,924",/#E24A4A,JPMorgan Chase & Co.
8,8,V,0,0,0,0,0,-1,0.33469190396753723,202.6800,$202.6800,6.3800,3.25%,(3.25%),"6,806",/#E24A4A,Visa Inc
9,9,HD,0,0,0,0,0,-1,0.3142672745105686,415.7000,$415.7000,8.4500,2.07%,(2.07%),"1,359",/#E24A4A,Home Depot Inc
10,10,JNJ,0,0,0,0,0,-1,0.28046811327421317,162.9400,$162.9400,3.5600,2.23%,(2.23%),719,/#E24A4A,Johnson & Johnson
11,11,IONQ,0,0,0,0,0,-1,0.27782164245957497,18.7900,$18.7900,-0.0600,-0.32%,(-0.32%),"113,340",/#3485FF,IONQ Inc
12,12,WMT,0,0,0,0,0,-1,0.27081498326889447,139.0000,$139.0000,1.5200,1.11%,(1.11%),"1,106",/#E24A4A,Walmart Inc
13,13,BAC,0,0,0,0,0,-1,0.2106459513004428,44.1500,$44.1500,0.2800,0.64%,(0.64%),"11,715",/#E24A4A,Bank of America Corp
14,14,PG,0,0,0,0,0,-1,0.20308750015515106,152.1500,$152.1500,2.2600,1.51%,(1.51%),"6,472",/#E24A4A,Procter & Gamble Co
15,15,MA,0,0,0,0,0,-1,0.1946789952938041,333.3300,$333.3300,11.2800,3.50%,(3.50%),"3,392",/#E24A4A,Mastercard Inc
16,16,ADBE,0,0,0,0,0,-1,0.1623140035864846,622.0400,$622.0400,5.5100,0.89%,(0.89%),"1,896",/#E24A4A,Adobe Inc
17,17,NFLX,0,0,0,0,0,-1,0.15136052367812072,612.6900,$612.6900,10.5600,1.75%,(1.75%),"5,271",/#E24A4A,Netflix Inc
18,18,PFE,0,0,0,0,0,-1,0.13355996878001092,51.4800,$51.4800,-2.7800,-5.12%,(-5.12%),"43,175",/#3485FF,Pfizer Inc.
19,19,NKE,0,0,0,0,0,-1,0.13312910423127103,168.9100,$168.9100,-1.3600,-0.80%,(-0.80%),"3,967",/#3485FF,Nike Inc
