,sid,scode,click,unclick,buy,sell,first_exposed_time,last_interaction_time,p_berr,price,pricedollar,change,changepct,changepctparenthesis,volume,color,name
0,106,U,0,1,0,0,1,-1,0.7291824011547047,153.9400,,0.4400,0.29%,(0.29%),"4,894,760",,Unity Software Inc
1,17,NFLX,1,1,1,0,0,0,0.7144176106368793,"2,974.4100","$2,974.4100",13.6800,0.46%,(0.46%),"948,197",/#E24A4A,Alphabet Inc Class C
2,3,AMZN,1,1,0,1,0,1,0.6537387953082737,121.8000,$121.8000,-0.5200,-0.43%,(-0.43%),"5,795,681",/#3485FF,Taiwan Semiconductor Mfg. Co. Ltd.
3,16,ADBE,1,1,0,0,0,1,0.6459667322849901,186.4900,$186.4900,3.3500,1.83%,(1.83%),"4,218,671",/#E24A4A,Airbnb Inc
4,15,MA,0,2,0,0,0,-1,0.6107691234331418,283.4000,$283.4000,1.0500,0.37%,(0.37%),"7,107,664",/#E24A4A,Moderna Inc
5,118,SBUX,0,0,0,0,2,-1,0.5752438365571337,116.2500,,-0.0100,-0.01%,(-0.01%),"5,806,963",,Starbucks Corporation
6,10,JNJ,1,1,0,1,0,1,0.5140493686741594,411.2500,$411.2500,-4.7100,-1.13%,(-1.13%),"4,079,365",/#3485FF,Home Depot Inc
7,0,AAPL,2,0,0,2,0,1,0.5000337849797731,334.9700,$334.9700,0.0500,0.01%,(0.01%),"24,760,988",/#E24A4A,Microsoft Corporation
8,19,NKE,0,2,0,0,0,-1,0.39411827691723667,653.1000,$653.1000,3.1400,0.48%,(0.48%),"2,416,232",/#E24A4A,Adobe Inc
9,4,LCID,0,2,0,0,0,-1,0.3306674736763322,197.3500,$197.3500,6.3300,3.31%,(3.31%),"14,433,205",/#E24A4A,Paypal Holdings Inc
10,5,NVDA,1,1,1,0,0,0,0.31899563078819426,116.2500,$116.2500,-0.0100,-0.01%,(-0.01%),"5,806,963",/#3485FF,Starbucks Corporation
11,14,PG,0,2,0,0,0,-1,0.30005076548146387,44.7200,$44.7200,0.8400,1.91%,(1.91%),"50,135,877",/#E24A4A,Lucid Group Inc
12,12,WMT,0,2,0,0,0,-1,0.2909066463649385,20.9700,$20.9700,-0.6000,-2.78%,(-2.78%),"4,611,596",/#3485FF,IONQ Inc
13,7,JPM,0,2,0,0,0,-1,0.2613836278695149,628.0800,$628.0800,2.5000,0.40%,(0.40%),"2,220,308",/#E24A4A,Netflix Inc
14,13,BAC,0,2,0,0,0,-1,0.14682106939952275,208.9900,$208.9900,1.6200,0.78%,(0.78%),"11,749,206",/#E24A4A,Visa Inc
15,6,XOM,0,2,0,0,0,-1,0.1377416139117116,318.2600,$318.2600,-6.0100,-1.85%,(-1.85%),"47,555,145",/#3485FF,NVIDIA Corporation
16,11,IONQ,0,2,0,0,0,-1,0.13682088241691548,"3,523.1600","$3,523.1600",-0.1300,0.00%,(0.00%),"2,262,683",/#3485FF,"Amazon.com, Inc."
17,2,GOOG,0,2,0,0,0,-1,0.08968022034879951,51.4000,$51.4000,-0.3200,-0.62%,(-0.62%),"37,429,199",/#3485FF,Pfizer Inc.
18,18,PFE,0,2,0,0,0,-1,0.0678882324057976,342.3400,$342.3400,2.8300,0.83%,(0.83%),"4,226,942",/#E24A4A,Mastercard Inc
19,9,HD,0,2,0,0,0,-1,0.06311553847922696,170.2500,$170.2500,-1.0400,-0.61%,(-0.61%),"5,614,587",/#3485FF,Nike Inc
20,104,DIS,0,0,0,0,-1,-1,0.032290706763320395,153.3400,,2.5800,1.71%,(1.71%),"12,886,261",,Walt Disney Co
21,1,MSFT,0,2,0,0,0,-1,0.031429102996615776,44.1600,$44.1600,-0.5500,-1.23%,(-1.23%),"50,560,328",/#3485FF,Bank of America Corp
22,8,V,0,2,0,0,0,-1,0.011673696983831194,125.0800,$125.0800,-0.4900,-0.39%,(-0.39%),"22,275,034",/#3485FF,Alibaba Group Holding Ltd - ADR
23,100,FB,0,1,0,0,1,-1,0.0041747263053571034,330.5600,,7.7500,2.40%,(2.40%),"19,937,722",,Meta Platforms Inc
