,sid,scode,click,unclick,buy,sell,first_exposed_time,last_interaction_time,p_berr,price,pricedollar,change,changepct,changepctparenthesis,volume,color,name
0,7,JPM,1,4,1000,0,0,2,0.990403664354583,137.1500,$137.1500,-1.4000,-1.01%,(-1.01%),306,/#3485FF,Walmart Inc
1,4,LCID,2,3,500,50,0,2,0.9896601462601115,62.4500,$62.4500,0.1800,0.29%,(0.29%),"1,076",/#E24A4A,Exxon Mobil Corp
2,5,NVDA,2,3,600,0,0,3,0.9894006040081718,20.9700,$20.9700,-0.6000,-2.78%,(-2.78%),"25,869",/#3485FF,IONQ Inc
3,2,GOOG,1,4,1000,0,0,1,0.9858890857170322,170.2500,$170.2500,-1.0400,-0.61%,(-0.61%),187,/#3485FF,Nike Inc
4,3,AMZN,1,4,1000,0,0,1,0.9830415193507814,628.0800,$628.0800,2.5000,0.40%,(0.40%),876,/#E24A4A,Netflix Inc
5,16,ADBE,1,4,300,0,0,0,0.979422524216391,153.9400,$153.9400,0.4400,0.29%,(0.29%),"1,831",/#E24A4A,Unity Software Inc
6,6,XOM,1,4,200,0,0,4,0.9779102423319321,124.7800,$124.7800,8.7900,7.58%,(7.58%),"5,893",/#E24A4A,Roblox Corp
7,0,AAPL,1,4,250,0,0,3,0.9612601008885002,330.5600,$330.5600,7.7500,2.40%,(2.40%),"5,236",/#E24A4A,Meta Platforms Inc
8,10,JNJ,2,3,100,0,0,4,0.9335412859664644,51.4000,$51.4000,-0.3200,-0.62%,(-0.62%),"12,348",/#3485FF,Pfizer Inc.
9,9,HD,1,4,100,0,0,4,0.9096617580659963,"2,974.4100","$2,974.4100",13.6800,0.46%,(0.46%),210,/#E24A4A,Alphabet Inc Class C
10,1,MSFT,1,4,50,0,0,3,0.8680198304793711,160.7100,$160.7100,-1.8600,-1.14%,(-1.14%),945,/#3485FF,JPMorgan Chase & Co.
11,104,DIS,0,0,0,0,5,-1,0.8613358117137114,153.3400,,2.5800,1.71%,(1.71%),"2,675",,Walt Disney Co
12,103,RBLX,0,0,0,0,5,-1,0.45074253010088977,124.7800,,8.7900,7.58%,(7.58%),"4,551",,Roblox Corp
13,119,MRNA,0,2,0,0,3,-1,0.28422349015536863,283.4000,,1.0500,0.37%,(0.37%),"2,866",,Moderna Inc
14,100,FB,0,2,0,0,3,-1,0.2485155050498001,330.5600,,7.7500,2.40%,(2.40%),"4,923",,Meta Platforms Inc
15,111,CEI,0,1,0,0,4,-1,0.19150586994305974,1.1600,,0.0400,3.57%,(3.57%),"17,233",,Camber Energy Inc
16,116,TSM,0,3,0,0,3,-1,0.18592384246157742,121.8000,,-0.5200,-0.43%,(-0.43%),"0,955",,Taiwan Semiconductor Mfg. Co. Ltd.
17,18,PFE,0,5,0,0,0,-1,0.18018244630214164,318.2600,$318.2600,-6.0100,-1.85%,(-1.85%),"17,815",/#3485FF,NVIDIA Corporation
18,108,MU,0,3,0,0,2,-1,0.13168336369862838,86.0200,,0.1900,0.22%,(0.22%),"0,721",,"Micron Technology, Inc."
19,106,U,0,1,0,0,4,-1,0.09124347724756701,153.9400,,0.4400,0.29%,(0.29%),"1,194",,Unity Software Inc
20,11,IONQ,0,5,0,0,0,-1,0.09075871929441026,653.1000,$653.1000,3.1400,0.48%,(0.48%),109,/#E24A4A,Adobe Inc
21,110,ASML,0,4,0,0,1,-1,0.08389960682294346,803.9200,,-2.0900,-0.26%,(-0.26%),"0,495",,ASML Holding NV
22,15,MA,0,5,0,0,0,-1,0.06202102731785821,334.9700,$334.9700,0.0500,0.01%,(0.01%),"6,141",/#E24A4A,Microsoft Corporation
23,13,BAC,0,5,0,0,0,-1,0.05635529014019504,164.3400,$164.3400,0.9800,0.60%,(0.60%),270,/#E24A4A,Johnson & Johnson
24,17,NFLX,0,5,0,0,0,-1,0.04321413095615181,121.8000,$121.8000,-0.5200,-0.43%,(-0.43%),979,/#3485FF,Taiwan Semiconductor Mfg. Co. Ltd.
25,14,PG,0,5,0,0,0,-1,0.025769767859770577,175.0800,$175.0800,3.9000,2.28%,(2.28%),"51,517",/#E24A4A,Apple Inc
26,113,AMD,0,4,0,0,1,-1,0.010450645508320146,145.2400,,0.3900,0.27%,(0.27%),"5,542",,"Advanced Micro Devices, Inc."
27,19,NKE,0,5,0,0,0,-1,0.009315987606716725,152.4300,$152.4300,0.6800,0.45%,(0.45%),35,/#E24A4A,Procter & Gamble Co
28,8,V,0,5,0,0,0,-1,0.00897210232791348,342.3400,$342.3400,2.8300,0.83%,(0.83%),85,/#E24A4A,Mastercard Inc
29,12,WMT,0,5,0,0,0,-1,0.0027719851706945,153.3400,$153.3400,2.5800,1.71%,(1.71%),"3,113",/#E24A4A,Walt Disney Co
