,sid,scode,click,unclick,buy,sell,first_exposed_time,last_interaction_time,p_berr,price,pricedollar,change,changepct,changepctparenthesis,volume,color,name
0,100,FB,0,1,0,0,2,-1,0.6946184353070457,330.5600,,7.7500,2.40%,(2.40%),"19,937,722",,Meta Platforms Inc
1,14,PG,1,2,0,5,0,1,0.6637936180873224,62.4500,$62.4500,0.1800,0.29%,(0.29%),"18,214,420",/#E24A4A,Exxon Mobil Corp
2,5,NVDA,1,2,3,0,0,0,0.6217531420628265,51.4000,$51.4000,-0.3200,-0.62%,(-0.62%),"37,429,199",/#3485FF,Pfizer Inc.
3,7,JPM,1,2,1,0,0,2,0.4957903005807492,186.4900,$186.4900,3.3500,1.83%,(1.83%),"4,218,671",/#E24A4A,Airbnb Inc
4,103,RBLX,0,2,0,0,1,-1,0.4828606845598464,124.7800,,8.7900,7.58%,(7.58%),"18,413,298",,Roblox Corp
5,8,V,1,2,0,2,0,2,0.44003646416301795,170.2500,$170.2500,-1.0400,-0.61%,(-0.61%),"5,614,587",/#3485FF,Nike Inc
6,0,AAPL,2,1,0,4,0,2,0.4337124427376557,330.5600,$330.5600,7.7500,2.40%,(2.40%),"19,937,722",/#E24A4A,Meta Platforms Inc
7,17,NFLX,1,2,1,0,0,0,0.39094548884858443,137.1500,$137.1500,-1.4000,-1.01%,(-1.01%),"11,498,754",/#3485FF,Walmart Inc
8,3,AMZN,1,2,3,0,0,2,0.3900699559863895,653.1000,$653.1000,3.1400,0.48%,(0.48%),"2,416,232",/#E24A4A,Adobe Inc
9,11,IONQ,1,2,1,0,0,1,0.3805921034229488,208.9900,$208.9900,1.6200,0.78%,(0.78%),"11,749,206",/#E24A4A,Visa Inc
10,2,GOOG,2,1,4,0,0,1,0.37951530623480006,20.9700,$20.9700,-0.6000,-2.78%,(-2.78%),"4,611,596",/#3485FF,IONQ Inc
11,114,BABA,0,0,0,0,3,-1,0.3254751285626114,125.0800,,-0.4900,-0.39%,(-0.39%),"22,275,034",,Alibaba Group Holding Ltd - ADR
12,12,WMT,0,3,0,0,0,-1,0.3186512692809261,628.0800,$628.0800,2.5000,0.40%,(0.40%),"2,220,308",/#E24A4A,Netflix Inc
13,110,ASML,0,1,0,0,2,-1,0.31766986294569216,803.9200,,-2.0900,-0.26%,(-0.26%),"551,528",,ASML Holding NV
14,16,ADBE,0,3,0,0,0,-1,0.20676607572505343,468.8600,$468.8600,4.1300,0.89%,(0.89%),"3,228,297",/#E24A4A,UnitedHealth Group Inc
15,6,XOM,0,3,0,0,0,-1,0.15054464303158388,122.1200,$122.1200,5.9400,5.11%,(5.11%),"12,815,992",/#E24A4A,Rivian Automotive Inc
16,106,U,0,0,0,0,3,-1,0.13315616253273377,153.9400,,0.4400,0.29%,(0.29%),"4,894,760",,Unity Software Inc
17,10,JNJ,1,2,1,0,0,1,0.09795616037115132,125.0800,$125.0800,-0.4900,-0.39%,(-0.39%),"22,275,034",/#3485FF,Alibaba Group Holding Ltd - ADR
18,13,BAC,0,3,0,0,0,-1,0.04910271089686064,803.9200,$803.9200,-2.0900,-0.26%,(-0.26%),"551,528",/#3485FF,ASML Holding NV
19,9,HD,0,3,0,0,0,-1,0.04335028875564439,152.4300,$152.4300,0.6800,0.45%,(0.45%),"8,329,342",/#E24A4A,Procter & Gamble Co
20,1,MSFT,0,3,0,0,0,-1,0.04208219352983444,44.7200,$44.7200,0.8400,1.91%,(1.91%),"50,135,877",/#E24A4A,Lucid Group Inc
21,15,MA,0,3,0,0,0,-1,0.026990663166258363,175.0800,$175.0800,3.9000,2.28%,(2.28%),"116,998,901",/#E24A4A,Apple Inc
22,113,AMD,0,2,0,0,1,-1,0.017164481722764725,145.2400,,0.3900,0.27%,(0.27%),"40,977,478",,"Advanced Micro Devices, Inc."
23,4,LCID,0,3,0,0,0,-1,0.01636859529351854,342.3400,$342.3400,2.8300,0.83%,(0.83%),"4,226,942",/#E24A4A,Mastercard Inc
24,19,NKE,0,3,0,0,0,-1,0.011527090299119651,153.9400,$153.9400,0.4400,0.29%,(0.29%),"4,894,760",/#E24A4A,Unity Software Inc
25,18,PFE,0,3,0,0,0,-1,0.0035460409641292906,164.3400,$164.3400,0.9800,0.60%,(0.60%),"6,216,391",/#E24A4A,Johnson & Johnson
