,sid,scode,click,unclick,buy,sell,first_exposed_time,last_interaction_time,p_berr,price,pricedollar,change,changepct,changepctparenthesis,volume,color,name
0,2,GOOG,1,0,1,0,0,0,0.917307690002331,20.9700,$20.9700,-0.6000,-2.78%,(-2.78%),"4,611,596",/#3485FF,IONQ Inc
1,0,AAPL,1,0,0,1,0,0,0.8521061723635881,330.5600,$330.5600,7.7500,2.40%,(2.40%),"19,937,722",/#E24A4A,Meta Platforms Inc
2,5,NVDA,1,0,3,0,0,0,0.7415117231194159,51.4000,$51.4000,-0.3200,-0.62%,(-0.62%),"37,429,199",/#3485FF,Pfizer Inc.
3,113,AMD,0,0,0,0,1,-1,0.6184784788726568,145.2400,,0.3900,0.27%,(0.27%),"40,977,478",,"Advanced Micro Devices, Inc."
4,17,NFLX,1,0,1,0,0,0,0.5398556962286426,137.1500,$137.1500,-1.4000,-1.01%,(-1.01%),"11,498,754",/#3485FF,Walmart Inc
5,9,HD,0,1,0,0,0,-1,0.46885866231200884,152.4300,$152.4300,0.6800,0.45%,(0.45%),"8,329,342",/#E24A4A,Procter & Gamble Co
6,6,XOM,0,1,0,0,0,-1,0.34603322733204056,122.1200,$122.1200,5.9400,5.11%,(5.11%),"12,815,992",/#E24A4A,Rivian Automotive Inc
7,4,LCID,0,1,0,0,0,-1,0.30931990113154045,342.3400,$342.3400,2.8300,0.83%,(0.83%),"4,226,942",/#E24A4A,Mastercard Inc
8,11,IONQ,0,1,0,0,0,-1,0.2974070460767862,208.9900,$208.9900,1.6200,0.78%,(0.78%),"11,749,206",/#E24A4A,Visa Inc
9,8,V,0,1,0,0,0,-1,0.2255725073389652,170.2500,$170.2500,-1.0400,-0.61%,(-0.61%),"5,614,587",/#3485FF,Nike Inc
10,7,JPM,0,1,0,0,0,-1,0.20526206950940648,186.4900,$186.4900,3.3500,1.83%,(1.83%),"4,218,671",/#E24A4A,Airbnb Inc
11,13,BAC,0,1,0,0,0,-1,0.1878166007897273,803.9200,$803.9200,-2.0900,-0.26%,(-0.26%),"551,528",/#3485FF,ASML Holding NV
12,19,NKE,0,1,0,0,0,-1,0.17849227998110043,153.9400,$153.9400,0.4400,0.29%,(0.29%),"4,894,760",/#E24A4A,Unity Software Inc
13,14,PG,0,1,0,0,0,-1,0.15075068020498508,62.4500,$62.4500,0.1800,0.29%,(0.29%),"18,214,420",/#E24A4A,Exxon Mobil Corp
14,103,RBLX,0,0,0,0,1,-1,0.14917873244600646,124.7800,,8.7900,7.58%,(7.58%),"18,413,298",,Roblox Corp
15,15,MA,0,1,0,0,0,-1,0.1306537356626316,175.0800,$175.0800,3.9000,2.28%,(2.28%),"116,998,901",/#E24A4A,Apple Inc
16,3,AMZN,0,1,0,0,0,-1,0.11677392807654431,653.1000,$653.1000,3.1400,0.48%,(0.48%),"2,416,232",/#E24A4A,Adobe Inc
17,18,PFE,0,1,0,0,0,-1,0.09799761261744609,164.3400,$164.3400,0.9800,0.60%,(0.60%),"6,216,391",/#E24A4A,Johnson & Johnson
18,10,JNJ,0,1,0,0,0,-1,0.09255735834767946,125.0800,$125.0800,-0.4900,-0.39%,(-0.39%),"22,275,034",/#3485FF,Alibaba Group Holding Ltd - ADR
19,16,ADBE,0,1,0,0,0,-1,0.06906550023915807,468.8600,$468.8600,4.1300,0.89%,(0.89%),"3,228,297",/#E24A4A,UnitedHealth Group Inc
20,1,MSFT,0,1,0,0,0,-1,0.03472476990125517,44.7200,$44.7200,0.8400,1.91%,(1.91%),"50,135,877",/#E24A4A,Lucid Group Inc
21,12,WMT,0,1,0,0,0,-1,0.031106813561186136,628.0800,$628.0800,2.5000,0.40%,(0.40%),"2,220,308",/#E24A4A,Netflix Inc
