,sid,scode,click,unclick,buy,sell,first_exposed_time,last_interaction_time,p_berr,price,pricedollar,change,changepct,changepctparenthesis,volume,color,name
0,0,AAPL,2,0,2,0,0,1,0.8773154717263345,139.0600,$139.0600,-4.9500,-3.44%,(-3.44%),"92,789",/#3485FF,"Advanced Micro Devices, Inc."
1,1,MSFT,1,1,1,0,0,1,0.7758630636620262,415.7000,$415.7000,8.4500,2.07%,(2.07%),970,/#E24A4A,Home Depot Inc
2,3,AMZN,2,0,1,1,0,1,0.6877748825504854,44.1500,$44.1500,0.2800,0.64%,(0.64%),"9,616",/#E24A4A,Bank of America Corp
3,16,ADBE,2,0,1,1,0,1,0.6624341274997059,333.3300,$333.3300,11.2800,3.50%,(3.50%),"2,741",/#E24A4A,Mastercard Inc
4,2,GOOG,1,1,1,0,0,0,0.5377000202319001,165.3200,$165.3200,3.4800,2.15%,(2.15%),"174,360",/#E24A4A,Apple Inc
5,19,NKE,0,2,0,0,0,-1,0.3558164963755426,317.8700,$317.8700,11.0300,3.59%,(3.59%),"30,554",/#E24A4A,Meta Platforms Inc
6,104,DIS,0,0,0,0,2,-1,0.3547204930921689,150.3700,,4.1500,2.84%,(2.84%),"15,997",,Walt Disney Co
7,12,WMT,0,2,0,0,0,-1,0.33005904541129705,152.1500,$152.1500,2.2600,1.51%,(1.51%),"2,463",/#E24A4A,Procter & Gamble Co
8,17,NFLX,1,1,0,1,0,0,0.3067953398027715,202.6800,$202.6800,6.3800,3.25%,(3.25%),"5,164",/#E24A4A,Visa Inc
9,11,IONQ,0,2,0,0,0,-1,0.2881454751117447,622.0400,$622.0400,5.5100,0.89%,(0.89%),"1,388",/#E24A4A,Adobe Inc
10,5,NVDA,0,2,0,0,0,-1,0.2576730275916304,265.3300,$265.3300,-41.3900,-13.49%,(-13.49%),"23,856",/#3485FF,Moderna Inc
11,6,XOM,1,1,1,0,0,1,0.19287138263953185,326.1900,$326.1900,3.1800,0.98%,(0.98%),"35,814",/#E24A4A,Microsoft Corporation
12,100,FB,0,1,0,0,1,-1,0.16999567786077702,317.8700,,11.0300,3.59%,(3.59%),"30,554",,Meta Platforms Inc
13,4,LCID,0,2,0,0,0,-1,0.1605895267373261,612.6900,$612.6900,10.5600,1.75%,(1.75%),"4,169",/#E24A4A,Netflix Inc
14,9,HD,0,2,0,0,0,-1,0.08816669822075894,123.6000,$123.6000,11.6400,10.40%,(10.40%),"401,895",/#E24A4A,Alibaba Group Holding Ltd - ADR
15,15,MA,0,2,0,0,0,-1,0.0807489958747195,113.3600,$113.3600,2.1200,1.91%,(1.91%),"9,519",/#E24A4A,Starbucks Corporation
16,8,V,0,2,0,0,0,-1,0.0708350810437574,162.9400,$162.9400,3.5600,2.23%,(2.23%),486,/#E24A4A,Johnson & Johnson
17,112,ABNB,0,1,0,0,1,-1,0.06909156745127104,180.8500,,14.1000,8.46%,(8.46%),"14,958",,Airbnb Inc
18,10,JNJ,0,2,0,0,0,-1,0.06565517798846483,61.5800,$61.5800,0.7000,1.15%,(1.15%),"1,445",/#E24A4A,Exxon Mobil Corp
19,116,TSM,0,0,0,0,2,-1,0.06358377535629596,119.1400,,-0.3300,-0.28%,(-0.28%),"19,425",,Taiwan Semiconductor Mfg. Co. Ltd.
20,14,PG,0,2,0,0,0,-1,0.061565532043690904,119.1400,$119.1400,-0.3300,-0.28%,(-0.28%),"19,425",/#3485FF,Taiwan Semiconductor Mfg. Co. Ltd.
21,7,JPM,0,2,0,0,0,-1,0.03589864721567616,18.7900,$18.7900,-0.0600,-0.32%,(-0.32%),"100,942",/#3485FF,IONQ Inc
22,13,BAC,0,2,0,0,0,-1,0.027932485579808625,"3,427.3700","$3,427.3700",37.5800,1.11%,(1.11%),"4,678",/#E24A4A,"Amazon.com, Inc."
23,18,PFE,0,2,0,0,0,-1,0.016242016994496938,113.2500,$113.2500,-0.5900,-0.52%,(-0.52%),"26,488",/#3485FF,Roblox Corp
